llh	children_0	children_1	children_2	children_3	children_4	children_5	children_6	children_7
-591.2393188476562	2;5;1	4;7			3	6		
-591.241455078125	2;6;1	4;7			3			5
-591.103515625	2;6;1	3		4;7	5			
-590.7380981445312	2;6;1	3;7		4	5			
-589.81005859375	2;5;1	3		4	7	6		
-590.67138671875	2;5;1	4		7	3	6		
-589.82275390625	2;6;1	3		4	7			5
-590.6841430664062	2;6;1	4		7	3			5
-589.5274658203125	5;6;1	2;3		4	7			
-590.3887939453125	5;6;1	2;4		7	3			
-589.356689453125	5;1	2;6;3		4	7			
-590.218017578125	5;1	2;6;4		7	3			
-589.356689453125	5;1	2;3		6;4	7			
-591.311767578125	5;1	2;4;7		6	3			
-590.6854858398438	5;1	2;3		4;7	6			
-589.75048828125	5;1	2;3		4	6;7			
-589.356689453125	5;1	2;3		4	7			6
-590.983154296875	5;1	2;3;7		4	6			
-590.3133544921875	5;1	2;4		6;7	3			
-590.218017578125	5;1	2;4		7	3			6
-590.9038696289062	5;1	2;4		7	3;6			
-589.3507690429688	6;1	2;5;3		4	7			
-590.212158203125	6;1	2;5;4		7	3			
-589.2850952148438	1	2;5;6;3		4	7			
-590.146484375	1	2;5;6;4		7	3			
-589.2850952148438	1	2;5;3		6;4	7			
-591.5774536132812	1	2;5;4;7		6	3			
-590.6139526367188	1	2;5;3		4;7	6			
-589.678955078125	1	2;5;3		4	6;7			
-589.2850952148438	1	2;5;3		4	7			6
-591.31494140625	1	2;5;3;7		4	6			
-590.2418212890625	1	2;5;4		6;7	3			
-590.146484375	1	2;5;4		7	3			6
-590.8323364257812	1	2;5;4		7	3;6			
-589.2850952148438	1	5;2;3	6	4	7			
-590.146484375	1	5;2;4	6	7	3			
-590.588134765625	1	5;4;7	6	2	3			
-590.085693359375	1	5;3;7	6	4	2			
-590.679931640625	1	2;5;6;3		4;7				
-591.31494140625	1	2;3;5;7		4				6
-591.31494140625	1	2;5;3;7		4;6				
-591.2583618164062	1	2;5;3		4;6;7				
-589.34326171875	1	2;6;3		5;4	7			
-590.6139526367188	1	2;5;3		4;7				6
-590.2514038085938	1	2;6;4		5;7	3			
-591.2796020507812	1	2;3;5;7		4		6		
-591.2952270507812	1	2;3;6;7		4				5
-590.6289672851562	1	2;3;7		4		6		5
-590.6289672851562	1	2;3;7		4				5;6
-589.286376953125	1	5;3	6	2;4	7			
-590.6139526367188	1	5;3	6	4;7	2			
-591.3052978515625	1	2;3;6;7		4;5				
-591.5157470703125	1	2;6;3		4;5;7				
-590.6390380859375	1	2;3;7		4;5				6
-590.6471557617188	1	2;3;7		4;5;6				
-589.34326171875	1	2;3		5;6;4	7			
-591.5126342773438	1	2;3		4;5;7				6
-590.9730224609375	1	2;4;7		5;6	3			
-591.5126342773438	1	2;3		5;4;7	6			
-589.737060546875	1	2;3		5;4	6;7			
-589.34326171875	1	2;3		5;4	7			6
-591.4884643554688	1	2;3		4;5;7		6		
-591.3206787109375	1	2;3		4;6;7				5
-590.6777954101562	1	2;3		4;7		6		5
-590.6777954101562	1	2;3		4;7				5;6
-591.5226440429688	1	2;4;6;7		5	3			
-590.9730224609375	1	2;4;7		5	3			6
-590.1998901367188	1	5;3	6	4	2;7			
-590.6390380859375	1	2;3;7		5;4	6			
-591.2568359375	1	2;3		4;6;7	5			
-589.7142333984375	1	2;3		6;4	5;7			
-590.6139526367188	1	2;3		4;7	5			6
-590.6139526367188	1	2;3		4;7	5;6			
-590.310302734375	1	2;3		4	5;6;7			
-589.7142333984375	1	2;3		4	5;7			6
-589.7050170898438	1	2;3		4	5;7	6		
-591.5574340820312	1	2;3		4	6;7		5	
-589.2850952148438	1	5;3	6	4	7			2
-589.7269897460938	1	2;3		4	6;7			5
-589.3331909179688	1	2;3		4	7	6		5
-591.1378784179688	1	2;3		4	7		5	6
-589.3331909179688	1	2;3		4	7			5;6
-590.6139526367188	1	2;5;3		4;7		6		
-590.6390380859375	1	2;3;7		4;5		6		
