llh	children_0	children_1	children_2	children_3	children_4	children_5	children_6	children_7
-633.1365356445312	3	6	5	4;7	1;2			
-633.1365356445312	3	6	5	4;7	2			1
-633.0682983398438	3	5		4;7	1;2			6
-633.1175537109375	3	5		4;7	1;2;6			
-633.1068115234375	3	5		4;7	2;6		1	
-633.0682983398438	3	5		4;7	2;6			1
-633.0682983398438	3		5	4;7	1;2			6
-633.1175537109375	3		5	4;7	1;2;6			
-633.1068115234375	3	5		4;7	2		1	6
-633.0682983398438	3	5		4;7	2			1;6
-633.1365356445312	3	6		4;7	2		5	1
-633.1365356445312	3	6		4;7	2			1;5
-633.1365356445312	3	6		4;7	1;2;5			
-633.1502075195312	3			4;5;7	1;2			6
-633.1365356445312	3	6		4;7	2;5			1
-633.0682983398438	3			4;7	1;2		5	6
-633.0682983398438	3			4;7	1;2			5;6
-633.0682983398438	3			4;7	1;2;5			6
-633.1175537109375	3			4;7	1;2;6		5	
-633.1175537109375	3			4;7	1;2;6			5
-633.1365356445312	3	6		4;7	1;2		5	
-633.1365356445312	3	6		4;7	1;2			5
-633.1068115234375	3		5	4;7	2		1	6
-633.1068115234375	3		5	4;7	2;6		1	
-633.1068115234375	3			4;7	2		1	5;6
-633.1068115234375	3			4;7	2;5		1	6
-633.1068115234375	3			4;7	2;5;6		1	
-633.1068115234375	3			4;7	2;6		1	5
-633.0682983398438	3		5	4;7	2			1;6
-633.0682983398438	3		5	4;7	2;6			1
-633.1502075195312	3			4;5;7	2			1;6
-633.1502075195312	3			5;4;7	2;6			1
-633.0682983398438	3			4;7	2		5	1;6
-633.1014404296875	3			4;7	2			1;5;6
-633.0682983398438	3			4;7	2;5			1;6
-633.0682983398438	3			4;7	2;5;6			1
-633.0682983398438	3			4;7	2;6		5	1
-633.0682983398438	3			4;7	2;6			1;5
