llh	children_0	children_1	children_2	children_3	children_4	children_5	children_6	children_7
-619.854248046875	3;6;1	5;2	4		7			
-620.145751953125	3;2;4	5;6	1		7			
-619.6959228515625	3;1	5;2	6;4		7			
-620.434814453125	3;1	5;2	4;7		6			
-619.6214599609375	3;1	5;2	4		7			6
-620.0333251953125	3;1	5;2	7		6			4
-620.0647583007812	3;2;4	5	1		7			6
-620.152587890625	3;2;7	5	1		6			4
-620.4707641601562	3;1;7	4;2	5					6
-620.434814453125	3;1	5;2	4;7					6
-620.1358642578125	3;1	2;4	5		7			6
-620.4661865234375	3;1	2;7	5		6			4
-620.6293334960938	3;1	2	5;7		6			4
-619.3120727539062	3;1	2	4;7		5			6
-620.4879760742188	3;1	2	6;7		5			4
-619.667724609375	3;1	2	4;7		5	6		
-620.458251953125	4;1	3;2	6;7	5				
-620.458251953125	4;1	3;2	7	5				6
-620.4439697265625	2;1	3;4		5	7			6
-620.391357421875	2;1	3;7		5	6			4
-620.0827026367188	3;1	4;2	6;7		5			
-620.0827026367188	3;1	4;2	7		5			6
-620.4559936523438	3;1;7	5;2	4		6			
-619.5659790039062	3;1	6;2	4;7		5			
-619.9761352539062	3;1	2;7	4		5			6
-620.0134887695312	3;1	2;7	4;6		5			
-620.0731201171875	3;1	5;2	4		7	6		
-620.2984008789062	2;1	5;4			7	3		6
-620.2756958007812	2;1	5;7			6	3		4
-620.4915161132812	3;1	2;4	5		7	6		
-620.4383544921875	3;1	4;2	7		5	6		
-620.331787109375	3;1	2;7	4		5	6		
-620.0333251953125	3;1	5;2	6;7					4
-620.4849853515625	3;1	5;2	7			6		4
-620.338134765625	3;6;1	2;4	5		7			
-619.8663940429688	3;1;4	2	5		7			6
-619.91357421875	3;1;7	2	5		6			4
-620.1203002929688	3;1;4	2;6	5		7			
-620.4559936523438	3;1;7	2;5	4					6
-620.5764770507812	3;1;7	5;2	4;6					
-620.4707641601562	3;1;7	2;4	5		6			
-619.8408813476562	3;2	4;6;7	1		5			
-619.5018310546875	3;2	4;7	1		5			6
-619.8574829101562	3;2	4;7	1		5	6		
-620.0513916015625	3;1;4	2	5;6		7			
-620.2853393554688	4;3;6;2	7	1	5				
-619.840087890625	4;3;1	6;2	7	5				
-619.586181640625	4;3;1	2	6;7	5				
-619.586181640625	4;3;1	2	7	5				6
-619.9415283203125	4;3;2	6;7	1	5				
-619.9415283203125	4;3;2	7	1	5				6
-620.4688110351562	4;6;1	3;2	7	5				
-620.131103515625	4;1;2	3	6;7	5				
-620.131103515625	4;1;2	3	7	5				6
-620.3427734375	4;1;2	3;6	7	5				
-620.128662109375	4;2;6;7	3	1	5				
-619.5643310546875	4;2;7	3	1	5				6
-620.01220703125	4;1;6;7	2	3	5				
-619.4478759765625	4;1;7	2	3	5				6
-619.9002685546875	4;1;7	2;6	3	5				
-620.4925537109375	4;1;7	2	5	6		3		
-620.2911987304688	3;6;1	4;2	7		5			
-619.5665893554688	3;6;2	4;7	1		5			
-619.7865600585938	3;2;7	4;6	1		5			
-619.9991455078125	3;2;6;7	4	1		5			
-619.7865600585938	3;2;7	4	1		5			6
-619.4181518554688	3;6;1	2	4;7		5			
-619.588623046875	3;1;6;7	2	4		5			
-620.0836181640625	3;6;1	2;7	4		5			
-619.296630859375	3;1;7	2	4		5			6
-619.550537109375	3;1;7	2;6	4		5			
-619.3233642578125	3;1;7	2	4;6		5			
-620.5635375976562	3;2;7	5	1		6	4		
-620.2406005859375	3;1;7	2	5		6	4		
-620.5940551757812	3;6;1	2	7		5			4
-620.6156005859375	3;2;7	5;6	1			4		
-620.42041015625	3;2;4	5	1		7	6		
-620.5635375976562	3;2;7	5	1			4		6
-620.5326538085938	3;1;6;7	2	5			4		
-620.2220458984375	3;1;4	2	5		7	6		
-620.2406616210938	3;1;7	2	5			4		6
-620.4945068359375	3;1;7	2;6	5			4		
-620.4255981445312	3;1;7	2	5;6			4		
-620.5679321289062	4;3;1	2	7	5		6		
-620.5460815429688	4;2;7	3	1	5		6		
-620.4296264648438	4;1;7	2	3	5		6		
-620.1422119140625	3;2;7	4	1		5	6		
-619.6522827148438	3;1;7	2	4		5	6		
