llh	children_0	children_1	children_2	children_3	children_4	children_5	children_6	children_7
-600.343017578125	1;5;6;3		4	2	7			
-600.2216186523438	1;5;6;3		7	4	2			
-600.7283935546875	1;5;3;7		6	4	2			
-600.3373413085938	1;5;3		6;4	2	7			
-601.8642578125	1;5;3		6	4;7	2			
-600.025634765625	1;5;3		4	2	6;7			
-600.025634765625	1;5;3		4	2	7			6
-600.025634765625	1;5;3		4	2;6	7			
-599.9042358398438	1;5;3		7	6;4	2			
-599.9042358398438	1;5;3		6;7	4	2			
-601.8497924804688	1;5;3		4	2;7	6			
-599.9042358398438	1;5;3		7	4	2			6
-600.2545166015625	1;5;3		7	4	2;6			
-600.8475341796875	1;5;3;7		4	2	6			
-600.18115234375	5;1;3	6	4	2	7			
-600.0597534179688	5;1;3	6	7	4	2			
-600.3881225585938	5;3;7	6	1	4	2			
-600.509521484375	5;3;7	6	4	2	1			
-601.1591796875	1;5;3;7		4;6	2				
-600.8770751953125	1;6;3		5;4	2	7			
-600.2216186523438	1;6;3		5;7	4	2			
-601.5339965820312	1;3;7		4;5;6	2				
-601.7408447265625	1;3;6;7		4;5	2				
-601.0471801757812	1;3;7		4;5	2				6
-601.056884765625	1;3;7		4;5	2;6				
-600.3885498046875	1;3;7		5;6	4	2			
-601.6689453125	1;3;5;6;7		4	2				
-600.8507080078125	1;3;5;7		4	2				6
-600.8519287109375	1;5;3;7		4	2;6				
-601.8497924804688	1;5;3		4	2;7				6
-601.917236328125	1;3;6;7		4	2			5	
-601.2068481445312	1;3;6;7		4	2				5
-601.1292114257812	1;3;7		4	2			5	6
-600.51318359375	1;3;7		4	2				5;6
-600.91748046875	1;3;7		4;6	2;5				
-601.2896118164062	1;3;6;7		4	2;5				
-600.5453491210938	1;3;7		4	2;5				6
-600.6829223632812	1;3;7		4	2;5;6				
-601.1259765625	1;3;7		4	2;6			5	
-600.5099487304688	1;3;7		4	2;6				5
-601.0440063476562	1;3;7		5;4	2	6			
-601.08544921875	1;3;6;7		5	4	2			
-600.3917236328125	1;3;7		5	4	2			6
-600.3916015625	1;3;7		5	4;6	2			
-600.7388305664062	1;3;7		5	4	2;6			
-601.5928955078125	1;3;7		4;6	2			5	
-600.8216552734375	1;3;7		4;6	2				5
-600.3430786132812	1;6;3		4	2;5	7			
-600.2510375976562	1;6;3		7	5;4	2			
-601.94921875	5;3	6	1	4;7	2			
-600.110595703125	5;3	6	4	1;2	7			
-599.9891967773438	5;3	6	7	1;4	2			
-601.9346923828125	5;3	6	4	2;7	1			
-600.4173583984375	5;3	6	1;4	2	7			
-601.0496826171875	1;3		5;6;4	2	7			
-601.8642578125	1;3		5;6	4;7	2			
-600.5596923828125	1;3		5;4	2	6;7			
-600.5596923828125	1;3		5;4	2	7			6
-600.5596923828125	1;3		5;4	2;6	7			
-599.9042358398438	1;3		5;7	6;4	2			
-601.8497924804688	1;3		4	2;7				5;6
-600.110595703125	5;3	6	4	2	1;7			
-600.3373413085938	1;3		6;4	2	5;7			
-600.5050048828125	1;3;7		6	5;4	2			
-601.8642578125	1;3		5	4;7	2			6
-600.025634765625	1;3		4	2	5;6;7			
-600.025634765625	1;3		4	2	5;7			6
-600.6416625976562	1;3		4	2	6;7		5	
-600.110595703125	5;3	6	4	2	7			1
-600.025634765625	1;3		4	2	6;7			5
-600.6416625976562	1;3		4	2	7		5	6
-600.025634765625	1;3		4	2	7			5;6
-601.1085815429688	1;3		6;4	2	7		5	
-600.3373413085938	1;3		6;4	2	7			5
-600.3501586914062	1;3		6;4	2;5	7			
-600.0256958007812	1;3		4	2;5	6;7			
-600.0256958007812	1;3		4	2;5	7			6
-600.065185546875	1;3		4	2;5;6	7			
-600.0201416015625	1;3		7	5;6;4	2			
-599.9337158203125	1;3		6;7	5;4	2			
-599.9337158203125	1;3		7	5;4	2			6
-600.283935546875	1;3		7	5;4	2;6			
-600.4024047851562	5;3	6	7	4	1;2			
-599.9891967773438	5;3	6	1;7	4	2			
-599.9042358398438	1;3		5;6;7	4	2			
-599.9042358398438	1;3		5;7	4	2			6
-600.5421752929688	1;3;7		4	2;5	6			
-601.8497924804688	1;3		4	2;7	5			6
-600.2545166015625	1;3		5;7	4	2;6			
-600.520263671875	1;3		6;7	4	2		5	
-599.9891967773438	5;3	6	7	4	2			1
-599.9042358398438	1;3		6;7	4	2			5
-600.520263671875	1;3		7	4	2		5	6
-599.9042358398438	1;3		7	4	2			5;6
-600.025634765625	1;3		4	2;6	5;7			
-599.917236328125	1;3		7	6;4	2;5			
-601.8642578125	1;3			4;7	2			5;6
-599.917236328125	1;3		6;7	4	2;5			
-601.8497924804688	1;3		4	2;7	5;6			
-599.917236328125	1;3		7	4	2;5			6
-600.34423828125	1;3		7	4	2;5;6			
-600.8705444335938	1;3		7	4	2;6		5	
-600.2545166015625	1;3		7	4	2;6			5
-600.6416625976562	1;3		4	2;6	7		5	
-600.5211181640625	1;3		7	6;4	2		5	
-601.8642578125	1;3		6	4;7	2			5
-600.025634765625	1;3		4	2;6	7			5
-599.9042358398438	1;3		7	6;4	2			5
-601.8497924804688	1;3		4	2;7	6			5
-600.343017578125	1;6;3		4	2	5;7			
-600.2345581054688	1;6;3		7	4	2;5			
-601.0786743164062	1;5;3;7			4	2;6			
-600.8216552734375	1;3;7		4;6	2	5			
-601.2068481445312	1;3;6;7		4	2	5			
-600.51318359375	1;3;7		4	2	5			6
-600.5099487304688	1;3;7		4	2;6	5			
-600.4015502929688	1;3;7		6	4	2;5			
-601.5725708007812	1;3;5;6;7			4	2			
-600.7315673828125	1;3;5;7			4	2			6
-600.795654296875	1;5;3;7			4;6	2			
-601.8642578125	1;5;3			4;7	2			6
-601.7958374023438	1;3;6;7			4	2		5	
-601.08544921875	1;3;6;7			4	2			5
-601.0077514648438	1;3;7			4	2		5	6
-600.3917236328125	1;3;7			4	2			5;6
-601.274658203125	1;3;6;7			4;5	2			
-600.5081787109375	1;3;7			4;5	2			6
-600.6844482421875	1;3;7			4;5;6	2			
-600.855224609375	1;3;7			5;4	2;6			
-601.0386962890625	1;3;7			4;6	2		5	
-600.3916015625	1;3;7			4;6	2			5
-600.5099487304688	1;3;7		4	2	5;6			
-601.098388671875	1;3;6;7			4	2;5			
-600.4047241210938	1;3;7			4	2;5			6
-600.4201049804688	1;3;7			4;6	2;5			
-600.8285522460938	1;3;7			4	2;5;6			
-601.3548583984375	1;3;7			4	2;6		5	
-600.7388305664062	1;3;7			4	2;6			5
-600.9590454101562	1;6;3		4	2	7		5	
-600.837646484375	1;6;3		7	4	2		5	
-601.0045776367188	1;3;7		6	4	2		5	
-601.1259765625	1;3;7		4	2	6		5	
-600.343017578125	1;6;3		4	2	7			5
-600.2216186523438	1;6;3		7	4	2			5
-600.3885498046875	1;3;7		6	4	2			5
-600.5099487304688	1;3;7		4	2	6			5
-601.6510620117188	1;6;3	5	4	2	7			
-601.5296020507812	1;6;3	5	7	4	2			
-601.7874755859375	1;3;7	5	6	4	2			
-601.6453247070312	1;3	5	6;4	2	7			
-601.3336791992188	1;3	5	4	2	6;7			
-601.3336791992188	1;3	5	4	2	7			6
-601.3336791992188	1;3	5	4	2;6	7			
-601.2122802734375	1;3	5	7	6;4	2			
-601.2122802734375	1;3	5	6;7	4	2			
-601.2122802734375	1;3	5	7	4	2			6
-601.5625	1;3	5	7	4	2;6			
-601.9088745117188	1;3;7	5	4	2	6			
-601.7610473632812	6;3	5	1;4	2	7			
-601.1904907226562	6;3	5	1;7	4	2			
-601.2678833007812	3;7	5	1;6	4	2			
-601.83837890625	3;7	5	1;4	2	6			
-601.686279296875	3;6;7	5	1	4	2			
-601.2678833007812	3;7	5	1	4	2			6
-601.2679443359375	3;7	5	1	4;6	2			
-601.6181030273438	3;7	5	1	4	2;6			
-601.3118896484375	6;3	5	4	1;2	7			
-601.1904907226562	6;3	5	7	1;4	2			
-601.2742309570312	3;7	5	6	1;4	2			
-601.3892822265625	3;7	5	4	1;2	6			
-601.3119506835938	6;3	5	4	2	1;7			
-601.60546875	6;3	5	7	4	1;2			
-601.700927734375	3;7	5	4;6	2	1			
-601.8076782226562	3;6;7	5	4	2	1			
-601.3892822265625	3;7	5	4	2	1			6
-601.3892822265625	3;7	5	4	2;6	1			
-601.6828002929688	3;7	5	6	4	1;2			
-601.3892822265625	3;7	5	4	2	1;6			
-601.425048828125	6;3	5	4	2	7		1	
-601.3036499023438	6;3	5	7	4	2		1	
-601.369140625	3;7	5	6	4	2		1	
-601.4905395507812	3;7	5	4	2	6		1	
-601.3119506835938	6;3	5	4	2	7			1
-601.1904907226562	6;3	5	7	4	2			1
-601.2683715820312	3;7	5	6	4	2			1
-601.3897705078125	3;7	5	4	2	6			1
-600.2699584960938	5;6;3		1;4	2	7			
-599.8825073242188	5;6;3		1;7	4	2			
-600.8162841796875	5;3;7	6	1;4	2				
-600.2326049804688	5;3;7		1;6	4	2			
-601.0311889648438	5;3		1;6;4	2	7			
-601.793701171875	5;3		1;6	4;7	2			
-600.2211303710938	5;3		1;4	2	6;7			
-600.2211303710938	5;3		1;4	2	7			6
-600.2211303710938	5;3		1;4	2;6	7			
-599.8336791992188	5;3		1;7	6;4	2			
-599.8336791992188	5;3		1;6;7	4	2			
-599.8336791992188	5;3		1;7	4	2			6
-600.1839599609375	5;3		1;7	4	2;6			
-600.6200561523438	5;3;7		1;4	2	6			
-600.7152099609375	1;3	6	5;4	2	7			
-600.0597534179688	1;3	6	5;7	4	2			
-601.83837890625	3;7	5	1;4	2				6
-601.83837890625	3;7	5	1;4	2;6				
-600.1153564453125	3;7	6	1;5	4	2			
-601.700927734375	3;7	5	4;6	1;2				
-600.770751953125	3;7	6	5;4	2	1			
-601.8912963867188	3;7	5	4;6	2			1	
-601.7014770507812	3;7	5	4;6	2				1
-601.4301147460938	5;3;7		1;4;6	2				
-599.8825073242188	6;3		1;5;7	4	2			
-601.2119750976562	3;7	6	1;4;5	2				
-599.9598388671875	3;7		1;5;6	4	2			
-601.1471557617188	3;5;6;7		1;4	2				
-600.6200561523438	3;5;7		1;4	2				6
-601.2192993164062	3;1;7	6	4;5	2				
-600.6294555664062	5;3;7		1;4	2;6				
-601.4608764648438	3;6;7		1;4	2			5	
-600.7657470703125	3;6;7		1;4	2				5
-600.7713012695312	3;7	6	4;5	2				1
-600.9633178710938	3;7		1;4	2			5	6
-600.3472900390625	3;7		1;4	2				5;6
-600.770751953125	3;7	6	4;5	1;2				
-601.3169555664062	3;7		1;4;6	2;5				
-600.8677978515625	3;6;7		1;4	2;5				
-600.3946533203125	3;7		1;4	2;5				6
-600.5607299804688	3;7		1;4	2;5;6				
-600.9633178710938	3;7		1;4	2;6			5	
-600.3472900390625	3;7		1;4	2;6				5
-600.3782958984375	3;6;7		1;5	4	2			
-601.842529296875	6;3		1;5	4;7	2			
-599.9598388671875	3;7		1;5	4	2			6
-599.9599609375	3;7		1;5	4;6	2			
-600.3101196289062	3;7		1;5	4	2;6			
-601.9661865234375	3;7		1;4;6	2			5	
-601.1573486328125	3;7		1;4;6	2				5
-601.0435180664062	3;5;1;7	6	4	2				
-600.510009765625	3;5;7	6	4	2				1
-602.0053100585938	5;1;3	6	4	2;7				
-601.912109375	3;1;7	5	4	2				6
-600.509521484375	5;3;7	6	4	1;2				
-601.9771118164062	3;6;7	5	4	2			1	
-601.8081665039062	3;6;7	5	4	2				1
-600.277099609375	6;3		1;4	2;5	7			
-599.9119262695312	6;3		1;7	5;4	2			
-601.9346923828125	5;3	6	4	2;7				1
-601.9771118164062	3;1;7	6	4	2			5	
-600.685302734375	3;1;7	6	4	2				5
-601.4906005859375	3;7	5	4	2			1	6
-602.0132446289062	3;7	5	4	2				1;6
-601.4766235351562	3;7	6	4	2			5	1
-600.2372436523438	3;7	6	4	2				1;5
-601.9088745117188	1;3;7	5	4	2;6				
-600.5912475585938	3;7	6	1;4	2;5				
-601.8076782226562	3;6;7	5	4	1;2				
-601.3892822265625	3;7	5	4	1;2				6
-601.4014282226562	3;7	5	4	1;2;6				
-601.4905395507812	3;7	5	4	2;6			1	
-601.3897705078125	3;7	5	4	2;6				1
-600.0460205078125	3;7		1;6	5;4	2			
-600.7247924804688	3;1;7	6	4	2;5				
-600.2527465820312	3;7	6	4	2;5				1
-600.3287353515625	3;7	6	4	1;2;5				
-600.3946533203125	3;7		1;4	2;5	6			
-601.47607421875	3;7	6	4	1;2			5	
-602.0053100585938	1;3	6	4	2;7				5
-600.2367553710938	3;7	6	4	1;2				5
-600.2699584960938	6;3		1;4	2	5;7			
-599.8954467773438	6;3		1;7	4	2;5			
-600.5828857421875	5;3;7		1	4	2;6			
-600.528564453125	3;7	6	5	4	1;2			
-601.1573486328125	3;7		1;4;6	2	5			
-600.7657470703125	3;6;7		1;4	2	5			
-600.3472900390625	3;7		1;4	2	5			6
-600.3472900390625	3;7		1;4	2;6	5			
-599.9728393554688	3;7		1;6	4	2;5			
-600.7658081054688	3;5;6;7		1	4	2			
-601.842529296875	5;6;3		1	4;7	2			
-600.2326049804688	3;5;7		1	4	2			6
-600.5639038085938	3;1;7	6	5	4	2			
-600.27099609375	5;3;7		1	4;6	2			
-601.793701171875	5;3		1	4;7	2			6
-601.0734252929688	3;6;7		1	4	2		5	
-600.3782958984375	3;6;7		1	4	2			5
-600.1158447265625	3;7	6	5	4	2			1
-600.5758666992188	3;7		1	4	2		5	6
-599.9598388671875	3;7		1	4	2			5;6
-602.019775390625	1;3	6	5	4;7	2			
-600.1153564453125	3;7	6	5	1;4	2			
-600.5187377929688	3;6;7		1	4;5	2			
-600.0460205078125	3;7		1	4;5	2			6
-600.2002563476562	3;7		1	4;5;6	2			
-600.3963012695312	3;7		1	5;4	2;6			
-600.5949096679688	3;7		1	4;6	2		5	
-601.842529296875	6;3		1	4;7	2			5
-599.9599609375	3;7		1	4;6	2			5
-600.3472900390625	3;7		1;4	2	5;6			
-600.3912353515625	3;6;7		1	4	2;5			
-599.9728393554688	3;7		1	4	2;5			6
-599.9786376953125	3;7		1	4;6	2;5			
-600.3998413085938	3;7		1	4	2;5;6			
-600.9261474609375	3;7		1	4	2;6		5	
-600.3101196289062	3;7		1	4	2;6			5
-600.885986328125	6;3		1;4	2	7		5	
-600.49853515625	6;3		1;7	4	2		5	
-601.8912963867188	3;7	6	1;4	2			5	
-600.5758666992188	3;7		1;6	4	2		5	
-600.9633178710938	3;7		1;4	2	6		5	
-600.2699584960938	6;3		1;4	2	7			5
-599.8825073242188	6;3		1;7	4	2			5
-600.5435180664062	3;7	6	1;4	2				5
-599.9598388671875	3;7		1;6	4	2			5
-600.3472900390625	3;7		1;4	2	6			5
-600.00390625	5;6;3		4	1;2	7			
-599.8825073242188	5;6;3		7	1;4	2			
-600.2434692382812	5;3;7		6	1;4	2			
-600.2667846679688	5;3		6;4	1;2	7			
-599.955078125	5;3		4	1;2	6;7			
-599.955078125	5;3		4	1;2	7			6
-599.955078125	5;3		4	1;2;6	7			
-599.8338012695312	5;3		7	1;6;4	2			
