tree	llh	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7	f_0_0	f_0_1	f_0_2	f_0_3	f_0_4	f_0_5	f_0_6	f_0_7	f_1_0	f_1_1	f_1_2	f_1_3	f_1_4	f_1_5	f_1_6	f_1_7
0	-513.7965698242188	-1	2	0	4	0	2	0	2	0.5288461446762085	0.0555555559694767	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.040816325694322586	0.09401709586381912	0.41489359736442566	9.999999974752427e-07	0.2347826063632965	0.03574084863066673	0.03574084863066673	0.21052631735801697	0.009259259328246117	9.999999974752427e-07
1	-513.7965698242188	-1	2	0	4	0	2	2	2	0.5288461446762085	0.0555555559694767	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.040816325694322586	0.09401709586381912	0.41489362716674805	9.999999974752427e-07	0.2347826063632965	0.03574084863066673	0.03574084863066673	0.21052631735801697	0.009259259328246117	9.999999974752427e-07
2	-513.7965698242188	-1	2	0	4	0	2	3	2	0.5288461446762085	0.0555555559694767	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.040816325694322586	0.09401709586381912	0.41489362716674805	9.999999974752427e-07	0.2347826063632965	0.03574084863066673	0.03574084863066673	0.21052631735801697	0.009259259328246117	9.999999974752427e-07
3	-513.7965698242188	-1	2	0	4	0	2	5	2	0.5288461446762085	0.0555555559694767	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.040816325694322586	0.09401709586381912	0.41489362716674805	9.999999974752427e-07	0.2347826063632965	0.03574084863066673	0.03574084863066673	0.21052631735801697	0.009259259328246117	9.999999974752427e-07
4	-513.7965698242188	-1	3	0	4	0	2	0	2	0.5288461446762085	0.0555555559694767	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.040816325694322586	0.09401709586381912	0.41489359736442566	9.999999974752427e-07	0.2347826063632965	0.03574084863066673	0.03574084863066673	0.21052631735801697	0.009259259328246117	9.999999974752427e-07
5	-513.7965698242188	-1	3	0	4	0	2	2	2	0.5288461446762085	0.0555555559694767	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.040816325694322586	0.09401709586381912	0.41489362716674805	9.999999974752427e-07	0.2347826212644577	0.03574084863066673	0.03574084863066673	0.21052631735801697	0.009259259328246117	9.999999974752427e-07
6	-513.7965698242188	-1	3	0	4	0	2	5	2	0.5288461446762085	0.0555555559694767	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.040816325694322586	0.09401709586381912	0.41489362716674805	9.999999974752427e-07	0.2347826063632965	0.03574084863066673	0.03574084863066673	0.21052631735801697	0.009259259328246117	9.999999974752427e-07
7	-513.7965698242188	-1	4	0	4	0	2	0	2	0.5288461446762085	0.0555555559694767	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.040816325694322586	0.09401709586381912	0.41489359736442566	-2.4010660126805305e-10	0.2347826063632965	0.035740844905376434	0.03574085235595703	0.21052631735801697	0.009259259328246117	9.999999974752427e-07
8	-513.7965698242188	-1	4	0	4	0	2	2	2	0.5288461446762085	0.0555555559694767	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.040816325694322586	0.09401709586381912	0.41489362716674805	-2.4010660126805305e-10	0.2347826212644577	0.035740844905376434	0.03574085235595703	0.21052631735801697	0.009259259328246117	9.999999974752427e-07
9	-513.7965698242188	-1	4	0	4	0	2	3	2	0.5288461446762085	0.0555555559694767	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.040816325694322586	0.09401709586381912	0.41489362716674805	-2.4010660126805305e-10	0.2347826063632965	0.035740844905376434	0.03574085235595703	0.21052631735801697	0.009259259328246117	9.999999974752427e-07
