tree	llh	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7	f_0_0	f_0_1	f_0_2	f_0_3	f_0_4	f_0_5	f_0_6	f_0_7	f_1_0	f_1_1	f_1_2	f_1_3	f_1_4	f_1_5	f_1_6	f_1_7
0	-614.3577880859375	-1	0	3	1	0	2	3	3	0.4117647111415863	0.3214285671710968	0.17391304671764374	0.2844827473163605	0.05454545468091965	0.125	0.06818182021379471	0.040816325694322586	0.39361703395843506	0.251209557056427	0.03773584961891174	0.251209557056427	0.10526315867900848	0.022727273404598236	9.999999974752427e-07	0.10526315867900848
1	-614.3577880859375	-1	0	3	1	0	2	5	3	0.4117647111415863	0.3214285671710968	0.17391304671764374	0.2844827473163605	0.05454545468091965	0.125	0.06818182021379471	0.040816325694322586	0.39361703395843506	0.251209557056427	0.03773584961891174	0.251209557056427	0.10526315867900848	0.022727273404598236	9.999999974752427e-07	0.10526315867900848
2	-614.3577880859375	-1	0	3	1	0	2	3	4	0.4117647111415863	0.3214285671710968	0.17391304671764374	0.2844827473163605	0.05454545468091965	0.125	0.06818182021379471	0.040816325694322586	0.39361703395843506	0.251209557056427	0.03773584961891174	0.251209557056427	0.10526315867900848	0.022727273404598236	9.999999974752427e-07	0.10526315867900848
3	-614.3577880859375	-1	0	3	1	0	2	5	4	0.4117647111415863	0.3214285671710968	0.17391304671764374	0.2844827473163605	0.05454545468091965	0.125	0.06818182021379471	0.040816325694322586	0.39361703395843506	0.251209557056427	0.03773584961891174	0.251209557056427	0.10526315867900848	0.022727273404598236	9.999999974752427e-07	0.10526315867900848
4	-614.3577880859375	-1	0	3	1	3	2	5	0	0.4117647111415863	0.3214285671710968	0.17391304671764374	0.2844827473163605	0.05454545468091965	0.125	0.06818182021379471	0.040816325694322586	0.39361703395843506	0.251209557056427	0.03773584961891174	0.251209557056427	0.10526315867900848	0.022727273404598236	9.999999974752427e-07	0.10526315867900848
5	-614.3577880859375	-1	0	3	1	3	2	0	3	0.4117647111415863	0.3214285671710968	0.17391304671764374	0.2844827473163605	0.05454545468091965	0.125	0.06818182021379471	0.040816325694322586	0.39361703395843506	0.251209557056427	0.03773584961891174	0.251209557056427	0.10526315867900848	0.022727273404598236	9.999999974752427e-07	0.10526315867900848
6	-614.3577880859375	-1	0	3	1	3	2	5	3	0.4117647111415863	0.3214285671710968	0.17391304671764374	0.2844827473163605	0.05454545468091965	0.125	0.06818182021379471	0.040816325694322586	0.39361703395843506	0.251209557056427	0.03773584961891174	0.251209557056427	0.10526315867900848	0.022727273404598236	9.999999974752427e-07	0.10526315867900848
7	-614.3577880859375	-1	0	3	1	3	2	0	4	0.4117647111415863	0.3214285671710968	0.17391304671764374	0.2844827473163605	0.05454545468091965	0.125	0.06818182021379471	0.040816325694322586	0.39361703395843506	0.251209557056427	0.03773584961891174	0.251209557056427	0.10526315867900848	0.022727273404598236	9.999999974752427e-07	0.10526315867900848
8	-614.3577880859375	-1	0	3	1	3	2	5	4	0.4117647111415863	0.3214285671710968	0.17391304671764374	0.2844827473163605	0.05454545468091965	0.125	0.06818182021379471	0.040816325694322586	0.39361703395843506	0.251209557056427	0.03773584961891174	0.251209557056427	0.10526315867900848	0.022727273404598236	9.999999974752427e-07	0.10526315867900848
9	-614.3743286132812	-1	0	3	1	3	2	3	0	0.4117647111415863	0.3214285671710968	0.16987577080726624	0.2890796661376953	0.05307731777429581	0.125	0.06612656265497208	0.040816325694322586	0.39361703395843506	0.251209557056427	0.03773584961891174	0.251209557056427	0.10526315867900848	0.022727273404598236	9.999999974752427e-07	0.10526315867900848
