tree	llh	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7	f_0_0	f_0_1	f_0_2	f_0_3	f_0_4	f_0_5	f_0_6	f_0_7	f_1_0	f_1_1	f_1_2	f_1_3	f_1_4	f_1_5	f_1_6	f_1_7
0	-553.4601440429688	-1	6	4	2	0	0	4	1	0.4706774353981018	0.05688156932592392	0.15238095819950104	0.1489361673593521	0.3010798394680023	0.16959761083126068	0.05688156932592392	0.04395604506134987	0.32737481594085693	0.05882352963089943	0.14723683893680573	0.012195121496915817	0.32737481594085693	1.622538547962904e-09	0.1801379919052124	9.999999974752427e-07
1	-553.4601440429688	-1	6	4	2	0	0	4	3	0.4706774353981018	0.05688156932592392	0.15238095819950104	0.1489361673593521	0.3010798394680023	0.16959761083126068	0.05688156932592392	0.04395604506134987	0.32737481594085693	0.05882352963089943	0.14723683893680573	0.012195121496915817	0.32737481594085693	1.622538547962904e-09	0.1801379919052124	9.999999974752427e-07
2	-553.4601440429688	-1	6	4	2	0	0	4	4	0.4706774353981018	0.05688156932592392	0.15238095819950104	0.1489361673593521	0.3010798394680023	0.16959761083126068	0.05688156932592392	0.04395604506134987	0.32737481594085693	0.05882352963089943	0.14723682403564453	0.012195121496915817	0.32737481594085693	1.622538547962904e-09	0.1801379770040512	1.622538547962904e-09
3	-553.4601440429688	-1	6	4	2	0	0	4	5	0.4706774353981018	0.05688156932592392	0.15238095819950104	0.1489361673593521	0.3010798394680023	0.16959761083126068	0.05688156932592392	0.04395604506134987	0.32737475633621216	0.05882352963089943	0.14723682403564453	0.012195121496915817	0.32737481594085693	1.622538547962904e-09	0.1801379919052124	1.622538547962904e-09
4	-553.5714721679688	-1	6	4	2	0	3	4	0	0.46464645862579346	0.05688156932592392	0.1584770232439041	0.1584770381450653	0.3068181872367859	0.1584770381450653	0.05688156932592392	0.04395604506134987	0.32737481594085693	0.05882352963089943	0.14723683893680573	0.012195121496915817	0.32737481594085693	9.999999974752427e-07	0.1801379919052124	1.622538547962904e-09
5	-553.5714721679688	-1	6	4	2	0	3	4	1	0.46464645862579346	0.05688156932592392	0.1584770232439041	0.1584770381450653	0.3068181872367859	0.1584770381450653	0.05688156932592392	0.04395604506134987	0.32737481594085693	0.05882352963089943	0.14723682403564453	0.012195121496915817	0.32737481594085693	9.999999974752427e-07	0.1801379770040512	9.999999974752427e-07
6	-553.5714721679688	-1	6	4	2	0	3	4	4	0.46464645862579346	0.05688156932592392	0.1584770232439041	0.1584770381450653	0.3068181872367859	0.1584770381450653	0.05688156932592392	0.04395604506134987	0.32737481594085693	0.05882352963089943	0.14723682403564453	0.012195121496915817	0.32737481594085693	9.999999974752427e-07	0.1801379919052124	1.622538547962904e-09
7	-553.5714721679688	-1	6	4	2	0	3	4	5	0.46464645862579346	0.05688156932592392	0.1584770232439041	0.1584770381450653	0.3068181872367859	0.1584770381450653	0.05688156932592392	0.04395604506134987	0.32737481594085693	0.05882352963089943	0.14723682403564453	0.012195121496915817	0.32737481594085693	9.999999974752427e-07	0.1801379770040512	9.999999974752427e-07
8	-553.6376953125	-1	6	4	4	0	0	2	1	0.4707265794277191	0.05688156932592392	0.15230409801006317	0.14885425567626953	0.3011583685874939	0.16956818103790283	0.05688156932592392	0.04395604506134987	0.32242387533187866	0.05882352963089943	0.16900241374969482	0.012195121496915817	0.32242387533187866	1.622538547962904e-09	0.16900241374969482	9.999999974752427e-07
9	-553.6376953125	-1	6	4	4	0	0	2	2	0.4707265794277191	0.05688156932592392	0.15230409801006317	0.14885425567626953	0.3011583685874939	0.16956818103790283	0.05688156932592392	0.04395604506134987	0.32242387533187866	0.05882352963089943	0.16900238394737244	0.012195121496915817	0.32242387533187866	1.622538547962904e-09	0.16900241374969482	1.622538547962904e-09
