filename,b,root
n50_m10_s2,_b10.tsv,-1
n50_m10_s2,_b100.tsv,-1
n50_m10_s2,_b50.tsv,-1
n50_m10_s20,_b1.tsv,35
n50_m10_s20,_b10.tsv,35
n50_m10_s20,_b100.tsv,35
n50_m10_s20,_b50.tsv,35
n50_m10_s3,_b1.tsv,-1
n50_m10_s3,_b10.tsv,-1
n50_m10_s3,_b100.tsv,-1
n50_m10_s3,_b50.tsv,-1
n50_m10_s4,_b1.tsv,-1
n50_m10_s4,_b10.tsv,-1
n50_m10_s4,_b100.tsv,-1
n50_m10_s4,_b50.tsv,-1
n50_m10_s5,_b1.tsv,-1
n50_m10_s5,_b10.tsv,-1
n50_m10_s5,_b100.tsv,-1
n50_m10_s5,_b50.tsv,-1
n50_m10_s6,_b1.tsv,-1
n50_m10_s6,_b10.tsv,-1
n50_m10_s6,_b100.tsv,-1
n50_m10_s6,_b50.tsv,-1
n50_m10_s7,_b1.tsv,-1
n50_m10_s7,_b10.tsv,-1
n50_m10_s7,_b100.tsv,-1
n50_m10_s7,_b50.tsv,-1
n50_m10_s8,_b1.tsv,41
n50_m10_s8,_b10.tsv,41
n50_m10_s8,_b100.tsv,41
n50_m10_s8,_b50.tsv,41
n50_m10_s9,_b1.tsv,-1
n50_m10_s9,_b10.tsv,-1
n50_m10_s9,_b100.tsv,-1
n50_m10_s9,_b50.tsv,-1
n8_m2_s1,_b1.tsv,-1
n8_m2_s1,_b10.tsv,-1
n8_m2_s1,_b100.tsv,-1
n8_m2_s1,_b50.tsv,-1
n8_m2_s10,_b1.tsv,-1
n8_m2_s10,_b10.tsv,-1
n8_m2_s10,_b100.tsv,-1
n8_m2_s10,_b50.tsv,-1
n8_m2_s11,_b1.tsv,-1
n8_m2_s11,_b10.tsv,-1
n8_m2_s11,_b100.tsv,-1
n8_m2_s11,_b50.tsv,-1
n8_m2_s12,_b1.tsv,-1
n8_m2_s12,_b10.tsv,-1
n8_m2_s12,_b100.tsv,-1
n8_m2_s12,_b50.tsv,-1
n8_m2_s13,_b1.tsv,-1
n8_m2_s13,_b10.tsv,-1
n8_m2_s13,_b100.tsv,-1
n8_m2_s13,_b50.tsv,-1
n8_m2_s14,_b1.tsv,-1
n8_m2_s14,_b10.tsv,-1
n8_m2_s14,_b100.tsv,-1
n8_m2_s14,_b50.tsv,-1
n8_m2_s15,_b1.tsv,-1
n8_m2_s15,_b10.tsv,-1
n8_m2_s15,_b100.tsv,-1
n8_m2_s15,_b50.tsv,-1
n8_m2_s16,_b1.tsv,-1
n8_m2_s16,_b10.tsv,-1
n8_m2_s16,_b100.tsv,1
n8_m2_s16,_b50.tsv,1
n8_m2_s17,_b1.tsv,-1
n8_m2_s17,_b10.tsv,-1
n8_m2_s17,_b100.tsv,-1
n8_m2_s17,_b50.tsv,-1
n8_m2_s18,_b1.tsv,-1
n8_m2_s18,_b10.tsv,-1
n8_m2_s18,_b100.tsv,-1
n8_m2_s18,_b50.tsv,-1
n8_m2_s19,_b1.tsv,-1
n8_m2_s19,_b10.tsv,-1
n8_m2_s19,_b100.tsv,-1
n8_m2_s19,_b50.tsv,-1
n8_m2_s2,_b1.tsv,-1
n8_m2_s2,_b10.tsv,-1
n8_m2_s2,_b100.tsv,-1
n8_m2_s2,_b50.tsv,-1
n8_m2_s20,_b1.tsv,-1
n8_m2_s20,_b10.tsv,-1
n8_m2_s20,_b100.tsv,-1
n8_m2_s20,_b50.tsv,-1
n8_m2_s3,_b1.tsv,-1
n8_m2_s3,_b10.tsv,-1
n8_m2_s3,_b100.tsv,-1
n8_m2_s3,_b50.tsv,-1
n8_m2_s4,_b1.tsv,-1
n8_m2_s4,_b10.tsv,-1
n8_m2_s4,_b100.tsv,-1
n8_m2_s4,_b50.tsv,-1
n8_m2_s5,_b1.tsv,-1
n8_m2_s5,_b10.tsv,-1
n8_m2_s5,_b100.tsv,-1
n8_m2_s5,_b50.tsv,-1
n8_m2_s6,_b1.tsv,-1
n8_m2_s6,_b10.tsv,-1
n8_m2_s6,_b100.tsv,-1
n8_m2_s6,_b50.tsv,-1
n8_m2_s7,_b1.tsv,-1
n8_m2_s7,_b10.tsv,-1
n8_m2_s7,_b100.tsv,-1
n8_m2_s7,_b50.tsv,-1
n8_m2_s8,_b1.tsv,-1
n8_m2_s8,_b10.tsv,-1
n8_m2_s8,_b100.tsv,1
n8_m2_s8,_b50.tsv,1
n8_m2_s9,_b1.tsv,3
n8_m2_s9,_b10.tsv,3
n8_m2_s9,_b100.tsv,3
n8_m2_s9,_b50.tsv,3
