tree	llh	pi_0	pi_1	pi_2	pi_3	pi_4	pi_6	pi_7	f_0_0	f_0_1	f_0_2	f_0_3	f_0_4	f_0_6	f_0_7	f_1_0	f_1_1	f_1_2	f_1_3	f_1_4	f_1_6	f_1_7
0	-583.3844604492188	-1	2	4	0	3	0	2	0.362804651260376	0.0416666679084301	0.15156680345535278	0.3274824917316437	0.15156680345535278	0.035322174429893494	0.04545454680919647	0.4910714328289032	0.008928571827709675	0.2752293646335602	0.3333333432674408	0.3076923191547394	0.017241379246115685	0.17894737422466278
1	-583.3844604492188	-1	3	4	0	3	0	2	0.36280468106269836	0.0416666679084301	0.15156680345535278	0.32748252153396606	0.15156680345535278	0.03532217815518379	0.04545454680919647	0.4910714328289032	0.008928571827709675	0.2752293646335602	0.3333333432674408	0.3076923191547394	0.017241379246115685	0.17894737422466278
2	-583.4107666015625	-1	6	4	0	3	0	2	0.36445093154907227	0.03821256011724472	0.15156680345535278	0.32623839378356934	0.15156680345535278	0.03821256384253502	0.04545454680919647	0.4910714328289032	0.008928571827709675	0.2752293646335602	0.3333333432674408	0.3076923191547394	0.017241379246115685	0.17894737422466278
3	-583.3844604492188	-1	7	4	0	3	0	2	0.362804651260376	0.0416666679084301	0.15156680345535278	0.3274824917316437	0.15156680345535278	0.035322174429893494	0.04545454680919647	0.4910714328289032	0.008928571827709675	0.2752293646335602	0.3333333432674408	0.3076923191547394	0.017241379246115685	0.17894737422466278
4	-583.4061889648438	-1	0	4	0	3	2	2	0.3650114834308624	0.03923080489039421	0.15156680345535278	0.3257806599140167	0.15156680345535278	0.03703703731298447	0.04545454680919647	0.4910714328289032	0.008928571827709675	0.2752293646335602	0.3333333432674408	0.3076923191547394	0.017241379246115685	0.17894737422466278
5	-583.3356323242188	-1	2	4	0	3	2	2	0.35164833068847656	0.0416666679084301	0.1515667736530304	0.33636361360549927	0.1515667736530304	0.03703703731298447	0.04545454680919647	0.4910714030265808	0.008928571827709675	0.2752293348312378	0.3333333134651184	0.307692289352417	0.017241379246115685	0.17894737422466278
6	-583.3356323242188	-1	3	4	0	3	2	2	0.35164833068847656	0.0416666679084301	0.15156680345535278	0.33636361360549927	0.15156680345535278	0.03703703731298447	0.04545454680919647	0.4910714328289032	0.008928571827709675	0.2752293646335602	0.3333333432674408	0.3076923191547394	0.017241379246115685	0.17894737422466278
7	-583.35009765625	-1	6	4	0	3	2	2	0.35164836049079895	0.039248909801244736	0.15156680345535278	0.33636364340782166	0.15156680345535278	0.039248909801244736	0.04545454680919647	0.4910714328289032	0.008928571827709675	0.2752293646335602	0.3333333432674408	0.3076923191547394	0.017241379246115685	0.17894737422466278
8	-583.3356323242188	-1	7	4	0	3	2	2	0.35164836049079895	0.0416666679084301	0.15156680345535278	0.33636364340782166	0.15156680345535278	0.03703703731298447	0.04545454680919647	0.4910714328289032	0.008928571827709675	0.2752293646335602	0.3333333432674408	0.3076923191547394	0.017241379246115685	0.17894737422466278
9	-583.4061889648438	-1	0	4	0	3	3	2	0.3650114834308624	0.03923080489039421	0.15156680345535278	0.3257806599140167	0.15156680345535278	0.03703703731298447	0.04545454680919647	0.4910714328289032	0.008928571827709675	0.2752293646335602	0.3333333432674408	0.3076923191547394	0.017241379246115685	0.17894737422466278
10	-583.3356323242188	-1	2	4	0	3	3	2	0.35164836049079895	0.0416666679084301	0.15156680345535278	0.33636364340782166	0.15156680345535278	0.03703703731298447	0.04545454680919647	0.4910714328289032	0.008928571827709675	0.2752293646335602	0.3333333432674408	0.3076923191547394	0.017241379246115685	0.17894737422466278
11	-583.3357543945312	-1	3	4	0	3	3	2	0.35164836049079895	0.0416666679084301	0.15156680345535278	0.33636364340782166	0.15156680345535278	0.03703703731298447	0.04545454680919647	0.4910714626312256	0.008907935582101345	0.2752293646335602	0.3336028456687927	0.30748069286346436	0.017214227467775345	0.17894737422466278
12	-583.35009765625	-1	6	4	0	3	3	2	0.35164836049079895	0.039248909801244736	0.15156680345535278	0.33636364340782166	0.15156680345535278	0.039248909801244736	0.04545454680919647	0.4910714328289032	0.008928571827709675	0.2752293646335602	0.3333333432674408	0.3076923191547394	0.017241379246115685	0.17894737422466278
13	-583.3356323242188	-1	7	4	0	3	3	2	0.35164836049079895	0.0416666679084301	0.15156680345535278	0.33636364340782166	0.15156680345535278	0.03703703731298447	0.04545454680919647	0.4910714328289032	0.008928571827709675	0.2752293646335602	0.3333333432674408	0.3076923191547394	0.017241379246115685	0.17894737422466278
14	-583.4061889648438	-1	0	4	0	3	7	2	0.3650114834308624	0.03923080489039421	0.15156680345535278	0.3257806599140167	0.15156680345535278	0.03703703731298447	0.04545454680919647	0.4910714328289032	0.008928571827709675	0.2752293646335602	0.3333333432674408	0.3076923191547394	0.017241379246115685	0.17894737422466278
15	-583.3356323242188	-1	2	4	0	3	7	2	0.35164836049079895	0.0416666679084301	0.15156680345535278	0.33636364340782166	0.15156680345535278	0.03703703731298447	0.04545454680919647	0.4910714328289032	0.008928571827709675	0.2752293646335602	0.3333333432674408	0.3076923191547394	0.017241379246115685	0.17894737422466278
16	-583.3356323242188	-1	3	4	0	3	7	2	0.35164833068847656	0.0416666679084301	0.15156680345535278	0.33636361360549927	0.15156680345535278	0.03703703731298447	0.04545454680919647	0.4910714328289032	0.008928571827709675	0.2752293646335602	0.3333333432674408	0.3076923191547394	0.017241379246115685	0.17894737422466278
17	-583.35009765625	-1	6	4	0	3	7	2	0.35164836049079895	0.039248909801244736	0.15156680345535278	0.33636364340782166	0.15156680345535278	0.039248909801244736	0.04545454680919647	0.4910714328289032	0.008928571827709675	0.2752293646335602	0.3333333432674408	0.3076923191547394	0.017241379246115685	0.17894737422466278
