tree	llh	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7	pi_8	pi_9	pi_10	pi_11	pi_12	pi_13	pi_14	pi_15	pi_16	pi_17	pi_18	pi_19	f_0_0	f_0_1	f_0_2	f_0_3	f_0_4	f_0_5	f_0_6	f_0_7	f_0_8	f_0_9	f_0_10	f_0_11	f_0_12	f_0_13	f_0_14	f_0_15	f_0_16	f_0_17	f_0_18	f_0_19	f_1_0	f_1_1	f_1_2	f_1_3	f_1_4	f_1_5	f_1_6	f_1_7	f_1_8	f_1_9	f_1_10	f_1_11	f_1_12	f_1_13	f_1_14	f_1_15	f_1_16	f_1_17	f_1_18	f_1_19	f_2_0	f_2_1	f_2_2	f_2_3	f_2_4	f_2_5	f_2_6	f_2_7	f_2_8	f_2_9	f_2_10	f_2_11	f_2_12	f_2_13	f_2_14	f_2_15	f_2_16	f_2_17	f_2_18	f_2_19	f_3_0	f_3_1	f_3_2	f_3_3	f_3_4	f_3_5	f_3_6	f_3_7	f_3_8	f_3_9	f_3_10	f_3_11	f_3_12	f_3_13	f_3_14	f_3_15	f_3_16	f_3_17	f_3_18	f_3_19	f_4_0	f_4_1	f_4_2	f_4_3	f_4_4	f_4_5	f_4_6	f_4_7	f_4_8	f_4_9	f_4_10	f_4_11	f_4_12	f_4_13	f_4_14	f_4_15	f_4_16	f_4_17	f_4_18	f_4_19	f_5_0	f_5_1	f_5_2	f_5_3	f_5_4	f_5_5	f_5_6	f_5_7	f_5_8	f_5_9	f_5_10	f_5_11	f_5_12	f_5_13	f_5_14	f_5_15	f_5_16	f_5_17	f_5_18	f_5_19	f_6_0	f_6_1	f_6_2	f_6_3	f_6_4	f_6_5	f_6_6	f_6_7	f_6_8	f_6_9	f_6_10	f_6_11	f_6_12	f_6_13	f_6_14	f_6_15	f_6_16	f_6_17	f_6_18	f_6_19	f_7_0	f_7_1	f_7_2	f_7_3	f_7_4	f_7_5	f_7_6	f_7_7	f_7_8	f_7_9	f_7_10	f_7_11	f_7_12	f_7_13	f_7_14	f_7_15	f_7_16	f_7_17	f_7_18	f_7_19	f_8_0	f_8_1	f_8_2	f_8_3	f_8_4	f_8_5	f_8_6	f_8_7	f_8_8	f_8_9	f_8_10	f_8_11	f_8_12	f_8_13	f_8_14	f_8_15	f_8_16	f_8_17	f_8_18	f_8_19	f_9_0	f_9_1	f_9_2	f_9_3	f_9_4	f_9_5	f_9_6	f_9_7	f_9_8	f_9_9	f_9_10	f_9_11	f_9_12	f_9_13	f_9_14	f_9_15	f_9_16	f_9_17	f_9_18	f_9_19
0	-384.38934272687453	3	7	14	-1	9	8	16	15	0	16	12	6	16	5	9	4	13	3	0	2	0.3061341376186883	0.0	0.03660008388983387	0.30613413761868996	0.03539822971853866	0.2418478792002803	0.059279548129001235	0.019009095638133973	0.24184787920028472	0.10801459402549975	0.039750364745473464	6.76698618917726e-11	0.039750364745473464	0.20704450689997445	0.03660008388983387	0.019009095638133973	0.20704450689997445	0.0	0.0	0.01098901098901096	0.3903099231107247	0.019047619007371754	0.07692307702116495	0.4088134612009003	0.04354010362232388	0.34347987054994	0.10975364282564683	0.04354010362232183	0.34347987054994	0.19996086474622696	0.02105263184977621	0.03738317723170202	0.03376536297804991	0.3434798705499275	0.14018691651314108	0.04354010362232183	0.3434798705499237	0.018503538090170968	0.0468300525607847	0.030303030303030477	0.4842056418187366	0.03360126500835688	0.04766977388302425	0.5137614655733636	0.058823529926755116	0.4756000641546969	0.13185729273041627	0.03360126500835692	0.4756000641546969	0.11428571500123647	0.03960396083533657	0.13185729273041594	0.040404039940244274	0.30215503233806335	0.04766977388302425	0.03360126500835692	0.3021550323380565	2.890046744141728e-11	0.008605577664036008	0.02654867256637177	0.29614855594866646	0.0	0.044444444294265334	0.31100310377938106	0.09016393440582167	0.29614855594866174	0.030927834774434233	0.03030303052687776	0.29614855594866646	0.17346938758769836	7.852158887544647e-11	0.020618556430282056	0.031249999975982424	0.28318584174627454	0.0818181814069772	0.05882352889318666	0.257142857255799	0.01485454783071459	0.0	0.0357142857142858	0.26470588419678953	6.60453224554658e-11	0.05607476649068992	0.3139534860297207	0.05236898627741343	0.1941012453727637	0.0	0.011235955111393437	0.1941012453727637	0.1159341582768584	0.0	0.0	0.014188261805432513	0.19130434933669588	0.06356517199944497	0.01123595511139388	0.1301224200822924	0.009433962277975083	0.009090909180703936	0.019607843137254766	0.4940614142597967	0.03486656425785676	0.05405405458801045	0.4940614142597996	0.09104513853506285	0.3785394697243535	0.08004501932271632	0.03486656425785676	0.48547618222625144	0.25512115488446957	0.043373295517160265	0.02752293567813887	0.043373295517160265	0.378539469724353	0.11538461437510569	0.09104513853506285	0.378539469724353	0.0	0.00858523203354528	0.0	0.3079022559573167	4.1974829990399627e-11	0.03261383216341415	0.324059798043642	0.0757737330925395	0.2935161346930935	0.02260331755532647	0.0757737330925395	0.29351613469309434	0.11742948491370467	0.03809523770789344	0.0	0.09498282875601521	0.23501563122504635	0.03261383216341415	0.0757737330925395	0.23501563122504635	0.01615754208632524	0.014386121264222331	0.03261383216341359	0.3974352942320933	4.89071742698688e-11	0.050505050966523794	0.41800472764044394	0.06249999940869442	0.36274509665612725	0.04896841377516125	0.04546950699133677	0.3711340208127913	0.16139231920308192	0.1153846167973942	0.027027027117504588	0.12932061667089143	0.33968134964913466	0.06097560980069197	0.04546950699133677	0.33968134964913466	0.020569433408341133	0.011235954893178076	0.02325581395348837	0.4277630328892407	0.05411761583064642	0.11585798749679507	0.42776303288924283	0.05411761583064803	0.3453809198002629	0.14201784596989833	0.05411761583064642	0.34538091980026536	0.1699756033274438	0.020833333417785954	0.03124999983474435	0.033387470502912624	0.3453809198002629	0.11585798749679507	0.05411761583064642	0.3453809198002629	0.0	0.08238211308897533	0.02830188679245257	0.37450050082319375	0.00980392167887982	0.014186032671257703	0.4648506498425089	0.037909619402393555	0.30796177731316876	0.06439470316354971	0.023757875273598336	0.30796177731316876	0.10990435640140009	0.12378020853753773	0.030927834685166477	0.12378020853753813	0.2980792681024934	0.07199473699900565	0.023757875273598336	0.29807926810248786	0.0903501490193081	0.010204081488143323	0.014186032671257703
1	-384.7633559113392	3	2	14	-1	9	8	16	15	0	16	12	6	16	5	9	4	13	3	0	2	0.30613413851345167	1.0322733876444817e-10	0.036600084096042415	0.3061341385134595	0.03539822975798959	0.24184788109410207	0.05927954700890058	0.019009095337184943	0.24184788109410943	0.10801459395916632	0.03975036488766882	4.164758138358593e-12	0.039750364887669205	0.2070445058557393	0.036600084096042866	0.019009095337184943	0.20704450585573772	0.0	2.071384707210639e-11	0.01098901098901096	0.39030992342553544	0.019047618956917714	0.07692307739945511	0.4088134614613771	0.043540103424316724	0.3434798709674923	0.10975364233476187	0.043540103424316724	0.3434798709674923	0.19996086592095727	0.021052631818679085	0.037383177609660645	0.03376536271176643	0.3434798709674923	0.1401869165374876	0.043540103424316724	0.34347987096748556	0.01850353803583668	0.04683005245804318	0.030303030303030477	0.4842056433713099	0.03169736477677602	0.05284544760549707	0.5137614656763017	0.05882352974322956	0.4756000654915442	0.13185729296680046	0.030985450962627753	0.4756000654915523	0.11428571353832709	0.03960396033236213	0.13185729296680046	0.04040404024198562	0.30215503140886024	0.05284544760549707	0.030985450962627753	0.30215503140886024	8.952174539444968e-11	0.008605577879751889	0.021148082828720726	0.2961485571138908	7.682137947995216e-11	0.044444444085983366	0.31100310509433227	0.09016393419861064	0.29614855711389027	0.030927834801716618	0.030303030475717575	0.2961485571138908	0.17346938895468128	0.0	0.020618556518005027	0.03124999968277155	0.28318584197805663	0.0818181812572179	0.05882352921228253	0.25714285715782514	0.014854547980441309	0.0	0.0357142857142858	0.26470588356994895	0.0	0.05607476627769391	0.31395348973643106	0.052368985278083535	0.1941012440592237	0.0	0.011235955188499739	0.1941012440592237	0.11593415762242233	4.58312570117414e-11	0.0	0.014188262291160117	0.19130434929348117	0.06356517234433881	0.011235955188499739	0.13012241991358275	0.00943396235338163	0.009090909094371862	0.019607843137254766	0.4940614167455984	0.042105263445881974	0.05405405405065819	0.4940614167456045	0.09104513933682758	0.3785394690089925	0.08004501828160701	0.0297029703940205	0.4854761846670394	0.2551211554219208	0.04337329530545969	0.027522935610111675	0.04337329530545969	0.37853946900899105	0.11538461599697639	0.09104513933682758	0.37853946900898827	0.0	0.008585232078558975	0.0	0.30790225593500375	0.0	0.032613832431841065	0.3240597981023915	0.07577373351317412	0.2935161341652638	0.022603317602197436	0.07577373351317286	0.293516134165268	0.11742948402934504	0.038095238193206996	0.0	0.0949828279707804	0.23501562960232328	0.03261383243184148	0.07577373351317412	0.23501562960232308	0.016157542167387243	0.014386121769735674	0.03261383243184071	0.3974352958754487	9.758559109093788e-12	0.050505050064513266	0.41800472906569064	0.06249999964554062	0.3627450988879057	0.0489684128085945	0.045469507137296056	0.3711340202496804	0.1613923179590958	0.11538461563539533	0.027027027085737683	0.1293206177043107	0.33968134847201	0.0609756102016346	0.045469507137296056	0.339681348472001	0.02056943319024194	0.011235955151833529	0.02325581395348837	0.42766783133646696	0.060606060028330175	0.11664431634047556	0.42766783133647784	0.052300374088698025	0.34523497231623584	0.14275287375889906	0.05230037408869679	0.3452349723162406	0.16894469042917357	0.020833333277311974	0.03125000023879389	0.03353740812814897	0.3452349723162322	0.11664431634047556	0.052300374088698025	0.3452349723162322	0.0	0.08243285902022635	0.02830188679245257	0.37450050159776493	0.00451548427849156	0.016148196189312694	0.4648506526994573	0.03790961904850139	0.3079617765847411	0.06439470311703849	0.02375787534695337	0.3079617765847411	0.10990435549792635	0.12378020920704254	0.030927835173372848	0.12378020920704451	0.2980792678220112	0.07199473644942272	0.02375787534695337	0.2980792678220094	0.0903501511016924	0.010204081479749268	0.011632711910820551
2	-384.8642535743744	3	11	14	-1	9	8	16	15	0	16	12	6	16	5	9	4	13	3	0	2	0.30613413688774	0.0	0.036600084065451614	0.30613413688774066	0.03539823026015604	0.24184787811848202	0.059279547463449836	0.019009095478080787	0.24184787811848543	0.10801459412336009	0.03975036478544672	1.8288665160071107e-11	0.03975036478544677	0.2070445063722574	0.036600084065451885	0.019009095478080787	0.20704450637225674	0.0	0.0	0.01098901098901096	0.39030992370808937	0.01904761892260435	0.07692307665138239	0.4088134620221594	0.04354010307943167	0.3434798711555317	0.10975364255723274	0.04354010307943121	0.3434798711555317	0.19996086549022224	0.02105263153366116	0.03738317786154114	0.033765363108069796	0.34347987115552825	0.14018691510274042	0.04354010307943167	0.34347987115552825	0.018503538314070034	0.046830052552553895	0.030303030303031192	0.48420564305268293	0.040404040816017346	0.0476697729980831	0.5137614663891774	0.05882352899161536	0.4756000650553172	0.13185729281471884	0.030985450871859267	0.4756000650553212	0.11428571360088283	0.03960396037676663	0.13185729281471884	0.04040404043945052	0.30215503331342314	0.0476697729980831	0.030985450871859666	0.30215503331342286	7.112612365745009e-11	0.008605577997361728	0.02654867256637177	0.2961485557320009	0.0	0.044444444006327403	0.31100310399375447	0.09016393475929664	0.2961485557319981	0.030927834769890142	0.03030303005298953	0.2961485557320007	0.17346938701542203	0.0	0.02061855695406744	0.031250000087655695	0.2831858415072159	0.08181818137874958	0.058823528794501735	0.25714285687349914	0.014854548261753612	0.0	0.0357142857142858	0.2647058833835993	0.0	0.05607476662864351	0.31395348863069816	0.05236898572766283	0.19410124260933795	0.0	0.01123595489996458	0.19410124260934108	0.11593415705353348	0.0	0.0	0.0141882620992662	0.1913043472035794	0.06356517132586954	0.011235954956595897	0.13012241915279968	0.0094339623310646	0.00909090918849985	0.019607843137254766	0.4940614164138082	0.033071704868638155	0.05405405425002259	0.4940614164138117	0.09104513891576597	0.37853947027067614	0.08004501788642328	0.029702970310844012	0.48547618438872	0.25512115699188287	0.04337329539236134	0.033071704868638155	0.043373295392361816	0.37853947027066803	0.11538461556390973	0.09104513891576597	0.37853947027066803	0.0	0.008585232025088221	0.0	0.30790225800604826	0.0	0.03261383222732495	0.32405980032338083	0.07577373342232921	0.29351613658693665	0.02260331748342429	0.07577373342232853	0.29351613658693665	0.11742948477490806	0.0380952379826616	0.0	0.0949828282161301	0.23501563047446652	0.03261383222732495	0.07577373342232875	0.23501563047446652	0.016157542317330215	0.014386121419111607	0.03261383222732495	0.39743529433369296	0.0	0.0505050501569685	0.418004727818622	0.0625000002466592	0.3627450972217269	0.04896841354251048	0.04546950728161044	0.37113402039258564	0.16139231852022584	0.11538461463420831	0.02702702733945478	0.12932061710388093	0.33968134916662457	0.06097560999737328	0.04546950728161122	0.3396813491666173	0.020569433484924838	0.011235954860941302	0.02325581395348837	0.42766782967364575	0.042444364290141874	0.1166443161973592	0.42766782967364575	0.05230037368715266	0.34523497288417554	0.14275287464622008	0.05230037368715266	0.34523497288418104	0.16894468988451783	0.02083333356223755	0.04244436429014236	0.03353740835343343	0.34523497288417554	0.11664431619736147	0.05230037368715266	0.3452349728841713	0.0	0.08243285678946469	0.02830188679245257	0.3745004981590395	0.009803921630780303	0.014186032642097137	0.4648506473322882	0.037909618991215685	0.30796178005485264	0.06439470366609798	0.023757875377677422	0.30796178005485725	0.10990435568441406	0.12378020918996142	0.03092783540314911	0.12378020918996187	0.29807926854047817	0.07199473669319838	0.023757875377677422	0.29807926854047817	0.09035014917324871	0.010204081804791923	0.014186032642096388
3	-385.3576841869277	3	10	14	-1	9	8	16	15	0	16	12	6	16	5	9	4	13	3	0	2	0.3061341371655404	8.945599438765085e-11	0.03660008379255141	0.30613413716554483	0.035398229754203085	0.2418478784120134	0.05927954747317516	0.019009095349772326	0.2418478784120134	0.10801459389324489	0.039750364759435906	0.0	0.03975036475943597	0.2070445061258597	0.0366000837925516	0.019009095349773047	0.2070445061258597	0.0	5.9475493897578336e-12	0.01098901098901096	0.39030992349951643	0.01904761884097593	0.07692307660324035	0.4088134616466079	0.0435401034675304	0.34347987129924806	0.10975364352743319	0.04354010346753025	0.34347987129924806	0.19996086479329914	0.02105263142936059	0.03738317758483851	0.03376536297851199	0.3434798712992456	0.1401869167430238	0.04354010346753025	0.3434798712992456	0.018503538147085025	0.046830052200268445	0.030303030303031192	0.48420564274471983	0.039996179745019136	0.04766977353386729	0.5137614678216827	0.058823529035653785	0.4756000650045618	0.13185729297312704	0.030985450987648048	0.4756000650045618	0.11428571499904255	0.039996179745019324	0.1318572929731265	0.04040404030528857	0.3021550314290243	0.04766977353386729	0.030985450987648048	0.3021550314290212	0.0	0.008605577740154914	0.02654867256637177	0.29614855672622914	0.0	0.04444444492603154	0.31100310478609183	0.0901639340111238	0.29614855672622353	0.030927835294114574	0.030303030468075885	0.29614855672622914	0.173469387600979	5.2136783779133114e-11	0.020618556897111964	0.03125000003439482	0.28318584157273624	0.08181818219292	0.0588235294849368	0.25714285578734025	0.014854548059858847	0.0	0.0357142857142858	0.2647058843836005	0.0	0.05607476654301627	0.3139534875534949	0.05236898528674074	0.19410124434252277	0.0	0.01123595506472069	0.1941012443425281	0.1159341575090889	5.186902853893116e-11	0.0	0.014188262333752767	0.1913043467725345	0.06356517222234555	0.011235955113544421	0.13012241984284273	0.009433962382589003	0.009090909193885565	0.019607843137254766	0.49406141234796785	0.042105263315011625	0.054054053728899376	0.49406141234797746	0.09104513866229408	0.37853946770137276	0.08004501862233213	0.029702970508288237	0.4854761802960173	0.2551211539733089	0.04337329510571931	0.02752293605963492	0.043373295105720404	0.3785394677013625	0.11538461552702457	0.09104513866229327	0.3785394677013625	0.0	0.008585232051950569	0.0	0.307902256883676	0.0	0.03261383211890993	0.3240597989357458	0.07577373337310127	0.29351613544356514	0.022603317609771516	0.07577373337310127	0.29351613544356686	0.1174294854144137	0.038095237855323344	0.0	0.09498282762863557	0.23501563065282194	0.03261383211890993	0.07577373337310127	0.23501563065282194	0.01615754205206981	0.014386121440109126	0.03261383211890977	0.3974352952011152	1.0520204585245737e-12	0.05050505089580268	0.4180047284346704	0.06249999956022446	0.36274509693834756	0.0489684135128345	0.045469506890446286	0.3711340191522612	0.161392318954599	0.11538461472987965	0.02702702711712461	0.12932061591522784	0.33968134838266517	0.06097560914317782	0.045469506890446536	0.33968134838266517	0.020569433233541785	0.0112359549651492	0.02325581395348837	0.4276678286263164	0.03345210709716811	0.11664431731289258	0.4276678286263164	0.0523003737925146	0.34523497181644064	0.14275287320039826	0.05230037379251435	0.34523497181644175	0.1689446911054076	0.03345210709716811	0.031249999609011394	0.03353740751062492	0.34523497181644064	0.11664431731289258	0.05230037379251435	0.3452349718164307	0.0	0.08243285680986669	0.02830188679245257	0.37450049867294033	0.009803921679467302	0.014186032776596105	0.46485064995773184	0.03790961894986923	0.3079617755370782	0.06439470331020075	0.023757875161843342	0.3079617755370782	0.1099043552281387	0.12378020985948404	0.030927834935513248	0.12378020985948558	0.29807926839782944	0.07199473627826879	0.02375787516184369	0.29807926839782495	0.0903501512847886	0.010204081438280908	0.014186032776595582
4	-386.30994904896465	-1	6	14	5	0	0	16	12	3	16	16	6	9	8	9	4	13	3	15	7	0.3368421068624835	9.29196142486781e-11	0.036600083960556466	0.2695782689299163	0.03539822992144266	0.2695782689299163	0.05999766792358945	0.028301886927125194	0.22857142841016329	0.10914576313730469	0.0370451751822823	5.964066076558084e-11	0.042016806644135894	0.206188606243178	0.036600083960556466	0.011764706071878892	0.206188606243178	5.743287532798422e-11	5.1349755411555994e-11	0.01098901098901096	0.4297313325225031	0.019047619137878974	0.0769230763242061	0.3838383839300077	0.043571399563910124	0.38615993295859297	0.10946172900179346	0.039177226651845254	0.3292804707265046	0.19954150013678945	0.02027724158791397	0.03738317755654381	0.039177226651845254	0.3292804707265017	0.14018691599216274	0.043571399563910124	0.32928047072649697	0.021052631648202702	0.043571399563909256	0.030303030303030477	0.536831277468471	0.023186617630195177	0.047669773295755634	0.49163696668357953	0.04519431078487475	0.49163696668357953	0.13947705702923388	0.041842926574024365	0.41860465207091924	0.11428571375995	0.039603960194300736	0.11629043939903871	0.041842926574024476	0.302155032904975	0.047669773295755634	0.021505376475035882	0.302155032904975	0.0	0.009433962436271889	0.02654867256637177	0.3562341898133544	0.0	0.044444444299115655	0.28878911761796716	0.06744507219538311	0.28878911761796716	0.030927834752209508	0.03210882007938092	0.27468922503697624	0.1734693879874812	0.0	0.02061855670384593	0.03210882007938112	0.27468922503697624	0.08181818212759125	0.058823529075055114	0.2571428561962274	0.014099892580990932	0.0	0.03210882007938056	0.2951309640861785	0.0	0.05607476623675833	0.2501376223564972	0.044993341729681	0.25013762235649745	0.0	0.015145757330830133	0.1813652374033495	0.12190994528403376	0.0	0.0	0.021505376222678747	0.1813652374033495	0.06521739121394042	0.01123595485447325	0.12190994528403619	0.00943396226914661	0.009090908965144851	0.015145757330830133	0.5266706625041064	0.042105263137405584	0.05405405419542163	0.43686627434197906	0.0898043881621274	0.43686627434197906	0.08147088530775448	0.02970297028911453	0.436866274341974	0.2579645426724449	0.04089818620912043	0.027522935793203872	0.04587155926266922	0.38033361418932365	0.11538461638993858	0.0898043881621274	0.3803336141893197	0.0	0.009259259106449657	0.0	0.3571060157392461	2.0639393486468994e-11	0.03083925137555254	0.29902476018046914	0.05808125555877509	0.299024760180471	0.029084707931630677	0.11111111090090575	0.2772277226656028	0.14571115272224588	0.03498318198701234	5.131387297296897e-11	0.11487190134668984	0.2314814800166622	0.03083925137555254	0.05808125555877505	0.20977904264088892	0.019047618938889146	0.017857142736409835	0.035714285714284824	0.4315624859739999	3.6702191801823815e-11	0.05050505087902199	0.3753148570930156	0.05624762888097749	0.3753148570930156	0.049706697646599934	0.07446808460712379	0.35600147882164124	0.18117786222403817	0.10726081868004407	0.02702702708111589	0.12724590918669912	0.3381453785506835	0.053931953037334314	0.03125000011247265	0.33814537855068216	0.019313378271374224	0.011235954882939252	0.02325581395348837	0.43373493756126397	0.06060606075245729	0.12382940257953345	0.3528865162328181	0.07211180092785253	0.3528865162328181	0.16983883318360427	0.046958543760975635	0.3528865162328181	0.170787946340512	0.012259736708693163	0.031250000167648874	0.046958543760975635	0.3528865162328181	0.12382940257953345	0.07211180092785224	0.3528865162328094	0.0	0.07211180092785224	0.02830188679245257	0.4205912925229573	0.009803921722053655	0.010309278445584371	0.3833585034871251	0.037232789035827725	0.38335850348712663	0.05981704486509638	0.024999999616228532	0.2928816810983567	0.13398095534134946	0.09908368089190685	0.030927835337000352	0.08658803114339433	0.2928816810983567	0.047392924197951686	0.02272727236266761	0.2928816810983527	0.09047682238876836	0.010204081499579373	0.019230769230769225
5	-386.3646293468196	3	11	14	-1	9	8	16	15	0	16	12	6	16	5	9	4	13	12	0	2	0.30613413654350097	2.828250894619834e-11	0.03660008393460756	0.30613413654350097	0.03539822988997098	0.24184787898460675	0.05927954793872639	0.019009095490514133	0.24184787898461374	0.10801459453048891	0.03975036535614007	5.713682185159996e-11	0.03975036535614007	0.20704450782535777	0.03660008393460801	0.019009095490514914	0.20704450782535533	0.0	0.0	0.01098901098901096	0.39456862734748016	0.019047619175350954	0.07692307680769017	0.39456862734748016	0.04354010359526337	0.34598024040278885	0.10929901533793986	0.04354010359526307	0.3459802404027915	0.19930774332985707	0.01868674081352975	0.037383177973290244	0.037373481734986974	0.34598024040278386	0.14018691609114764	0.04354010359526318	0.34598024040278386	0.018686740921455752	0.04858838694468287	0.030303030303030477	0.4842056409871564	0.04040404051415096	0.04766977356032605	0.5137614679652005	0.0588235297287019	0.47560006326837706	0.1318572930648663	0.030985451233422275	0.47560006326837706	0.11428571408477045	0.039603960534332176	0.1318572930648663	0.04040404021534034	0.30215503455976594	0.04766977356032762	0.030985451233422275	0.30215503455976594	0.0	0.008605577718769648	0.02654867256637177	0.3002539874569222	1.3168028090149165e-11	0.04444444392418378	0.30025398745692766	0.09016393415503544	0.3002539874569222	0.030927834695109603	0.030303030632339082	0.3002539874569222	0.1734693878026425	5.624369805445895e-11	0.0206185569706874	0.031250000144475376	0.28318584063006724	0.08181818116004388	0.058823529723761606	0.25714285887369503	0.018181818149141486	0.0	0.0357142857142858	0.2647058843819098	0.0	0.05607476624627106	0.31395348532886075	0.052368985895921594	0.19410124466313364	0.0	0.011235955014250076	0.19410124466313364	0.11593415751080628	1.5651494322810322e-11	0.0	0.014188261780031287	0.1913043490652483	0.06356517161488132	0.011235955014250076	0.1301224192908376	0.009433962412651646	0.009090909138698816	0.019607843137254766	0.4940614134500028	0.033071704631160166	0.05405405374074961	0.49406141345000837	0.09104513839932667	0.37853947007651617	0.08004501867765007	0.029702970315376713	0.4854761815859706	0.2551211561931806	0.043373295205680534	0.033071704631160166	0.0433732952056828	0.37853947007651534	0.11538461572432357	0.09104513839932667	0.3785394700765135	0.0	0.00858523186403186	0.0	0.3133828335337045	0.0	0.0326138324604456	0.3133828335337045	0.07577373331676344	0.2982403762525924	0.02260331721172534	0.07577373331676239	0.2982403762525924	0.1174294846484101	0.03809523843405939	0.0	0.09498282778620075	0.2350156296463421	0.0326138324604456	0.07577373331676254	0.23501562964634026	0.019047618825190998	0.015142457281103762	0.0326138324604456	0.3999999985831864	5.837253190422424e-11	0.05050505078506452	0.414634147507146	0.06250000026672341	0.3627450973089529	0.048609500143332623	0.04546950690366266	0.3711340234144482	0.16023581798544023	0.11155117010537326	0.027027027232846543	0.1315827366426762	0.34042805477144905	0.060975610197623195	0.04546950690366311	0.34042805477144905	0.020031566537302942	0.011235954980173218	0.02325581395348837	0.427667829796962	0.04244436457603478	0.11664431640252108	0.427667829796962	0.052300374110367955	0.34523497262606917	0.14275287357878122	0.05230037411036658	0.34523497262606917	0.16894469051289063	0.020833333355461947	0.042444364576034926	0.03353740853439133	0.3452349726260631	0.11664431640252108	0.05230037411036658	0.3452349726260631	4.2958708945661786e-11	0.08243285717088718	0.02830188679245257	0.3789473677490524	0.009803921424070761	0.014186032714707432	0.45999999931677027	0.035713798751954545	0.307961777420568	0.057547177796548325	0.023757875122666236	0.30796177742057607	0.10443722245121577	0.08995046217466698	0.030927835058074688	0.1450118091794426	0.306996209427208	0.06872342369926121	0.023757875122666236	0.3069962094272067	0.05506134700477561	0.010204081743736331	0.014186032714707432
6	-386.6179578702169	3	0	14	-1	9	8	16	15	0	16	12	6	16	5	9	4	13	3	0	2	0.3061341367963494	7.991491443349389e-11	0.036600083947431604	0.30613413679635265	0.035398230266314265	0.2418478796961383	0.05927954728121784	0.019009095165483568	0.2418478796961384	0.10801459380891978	0.03975036492291031	9.78943717200309e-12	0.03975036492291116	0.2070445060130494	0.036600083947431604	0.01900909516548392	0.20704450601304883	0.0	8.471689424633014e-11	0.01098901098901096	0.399837880025595	0.016242800487075215	0.07692307618816678	0.41745900652948226	0.04354010349731708	0.34005458311605946	0.10856658240910394	0.04354010349731632	0.34005458311605946	0.1982555247667373	0.02105263158371662	0.03738317763299442	0.03323247594021214	0.34005458311605774	0.1401869171095271	0.04354010349731639	0.34005458311605774	0.017621126503886447	0.04354049642246031	0.030303030303030477	0.5054930029238521	0.0347978260803427	0.0476697736101783	0.5137614693231233	0.05882352913395697	0.46325133620364345	0.13185729304288174	0.03098545097760979	0.46325133620365094	0.11428571427052753	0.03960395993382253	0.13185729304287475	0.04040404065618997	0.30215503110032393	0.047669773610179336	0.030985450977609894	0.3021550311003203	4.413650458445773e-11	0.007443840639850145	0.02654867256637177	0.2961485571982043	0.0	0.044444444685477466	0.31100310530736985	0.09016393428092467	0.29614855719820216	0.030927834859450304	0.03030303059174906	0.29614855719820216	0.1734693870364621	0.0	0.020618556908782584	0.031249999910426676	0.2831858411854887	0.08181818148904066	0.058823529840593726	0.2571428559391342	0.01485454810916554	0.0	0.0357142857142858	0.2647058800882622	0.0	0.05607476657172769	0.31395349076169854	0.05236898570835153	0.19410124536402382	0.0	0.011235954947955543	0.1941012453640274	0.11593415755534106	4.107769200345502e-11	0.0	0.014188262281771927	0.1913043480471295	0.06356517184698954	0.011235954984330396	0.13012241983711298	0.009433962232991294	0.009090909057387575	0.019607843137255273	0.5053669007525843	0.03643859775878685	0.05405405386160707	0.5053669007525857	0.09104513910910442	0.3785394671334543	0.08004501737703265	0.029702970168693773	0.46145772907103694	0.2551211549451174	0.04337329481129172	0.027522935793487847	0.04337329481129225	0.3785394671334543	0.115384615647342	0.09104513910910432	0.37853946713344233	0.0	0.007470573922759206	0.0	0.3079022554300751	0.0	0.03261383238069595	0.32405979752651876	0.07577373364548881	0.293516133875532	0.02260331729203009	0.07577373364548654	0.29351613387553593	0.11742948465829826	0.0380952377343443	2.595279511297122e-11	0.09498282754667611	0.23501562949700677	0.03261383238069595	0.07577373364548654	0.2350156294970045	0.01615754209644123	0.01438612155453915	0.032613832380695304	0.3974352954617137	0.0	0.05050505087190255	0.41800472892477536	0.062499999629569716	0.36274509833669666	0.048968413270201176	0.04546950662496818	0.37113401781173183	0.1613923172006233	0.11538461598688919	0.02702702711172977	0.1293206166178677	0.3396813470886937	0.06097560909613879	0.04546950662496843	0.3396813470886937	0.020569433463061646	0.011235955178035734	0.02325581395348837	0.45054082334390366	0.04209275041606989	0.11576677166520868	0.45054082334390366	0.05206517909858031	0.3382065654300296	0.13783948576850946	0.05206517909857906	0.33820656543002964	0.16783195076378898	0.020833333123633516	0.031250000248381225	0.03253512889772938	0.3382065654300278	0.11576677166520868	0.05206517909858031	0.3382065654300278	0.0	0.07024150749779819	0.02830188679245257	0.37450049986569284	0.009803921533482373	0.014186032713445014	0.4648506496742985	0.03790961931402719	0.3079617785981783	0.06439470366361306	0.023757875174351087	0.3079617785981783	0.10990435673334586	0.12378020908579894	0.030927835248258023	0.12378020908579894	0.29807926948276453	0.07199473741931782	0.023757875174351628	0.29807926948276453	0.09035014980860567	0.010204081654610904	0.014186032713444766
