llh	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7
-630.4428100585938	-1	2	0	4	2	1	2	3
-630.4325561523438	-1	2	0	4	2	1	3	2
-630.4760131835938	-1	2	0	4	2	3	1	5
-630.4536743164062	-1	2	0	4	2	1	4	3
-630.4840698242188	-1	3	0	2	2	1	4	2
-630.422119140625	-1	3	0	2	2	1	4	4
-630.4760131835938	-1	3	0	2	2	4	1	5
-630.4392700195312	-1	3	0	2	2	1	3	4
-630.4392700195312	-1	3	0	4	2	1	3	2
-630.422119140625	-1	3	0	4	2	1	2	2
-630.4760131835938	-1	3	0	4	2	2	1	5
-630.4329833984375	-1	3	0	4	2	1	4	2
-630.4840698242188	-1	4	0	2	2	1	3	2
-630.4760131835938	-1	4	0	2	2	3	1	5
-630.4428100585938	-1	4	0	2	2	1	4	3
-630.4140014648438	-1	2	0	4	2	2	1	3
-630.4161987304688	-1	3	0	4	2	2	1	2
-630.4840698242188	-1	4	0	2	2	1	4	2
-630.4760131835938	-1	2	0	4	2	3	2	5
-630.4248657226562	-1	2	0	4	2	2	4	3
-630.435302734375	-1	2	0	4	2	3	3	2
-630.4689331054688	-1	2	0	4	2	3	2	2
-630.4760131835938	-1	2	0	4	2	2	3	5
-630.4069213867188	-1	2	0	4	2	3	4	2
-630.4868774414062	-1	2	0	4	2	2	4	5
-630.4868774414062	-1	2	0	4	2	3	4	5
-630.4840698242188	-1	3	0	2	2	1	5	2
-630.4840698242188	-1	4	0	2	2	1	5	2
-630.4140014648438	-1	2	0	4	2	2	5	3
-630.3960571289062	-1	2	0	4	2	3	5	2
-630.4552612304688	-1	4	0	2	2	3	1	2
-630.4181518554688	-1	3	0	4	2	2	3	2
-630.4552612304688	-1	3	0	2	2	4	4	2
-630.4760131835938	-1	3	0	2	2	4	4	5
-630.4552612304688	-1	3	0	2	2	4	5	2
-630.4779663085938	-1	3	0	2	2	4	3	5
-630.4779663085938	-1	3	0	4	2	2	3	5
-630.3960571289062	-1	2	0	4	2	3	1	2
-630.4760131835938	-1	3	0	4	2	2	2	5
-630.4707641601562	-1	3	0	2	2	4	3	2
-630.4270629882812	-1	3	0	4	2	2	4	2
-630.4161987304688	-1	3	0	4	2	2	5	2
-630.4868774414062	-1	3	0	4	2	2	4	5
-630.4434204101562	-1	2	0	4	2	1	4	2
-630.4763793945312	-1	4	0	2	2	4	1	3
-630.4760131835938	-1	2	0	4	2	2	1	5
-630.4552612304688	-1	3	0	2	2	4	1	2
-630.4325561523438	-1	2	0	4	2	1	5	2
-630.4552612304688	-1	4	0	2	2	3	5	2
-630.4552612304688	-1	4	0	2	2	3	4	2
-630.4760131835938	-1	4	0	2	2	3	4	5
-630.4763793945312	-1	4	0	2	2	4	5	3
-630.4428100585938	-1	2	0	4	2	1	5	3
-630.422119140625	-1	3	0	2	2	1	5	4
-630.422119140625	-1	3	0	4	2	1	5	2
-630.4428100585938	-1	4	0	2	2	1	5	3
