llh	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7
-589.3505859375	1	-1	0	0	3	0	0	4
-589.3505859375	1	-1	0	0	3	0	3	4
-589.3505859375	1	-1	0	0	3	0	7	4
-589.3505859375	1	-1	0	0	3	0	2	4
-589.351806640625	1	-1	3	0	3	0	2	4
-589.3505859375	1	-1	7	0	3	0	2	4
-589.3505859375	1	-1	0	0	3	0	5	4
-589.356689453125	-1	0	1	1	3	0	2	4
-589.35791015625	-1	0	3	1	3	0	2	4
-589.356689453125	-1	0	7	1	3	0	2	4
-589.351806640625	1	-1	3	0	3	0	0	4
-589.3605346679688	1	-1	3	0	3	0	3	4
-589.351806640625	1	-1	3	0	3	0	7	4
-589.351806640625	1	-1	3	0	3	0	5	4
-589.3505859375	1	-1	7	0	3	0	0	4
-589.3505859375	1	-1	7	0	3	0	3	4
-589.3505859375	1	-1	7	0	3	0	7	4
-589.3505859375	1	-1	7	0	3	0	5	4
-589.356689453125	-1	0	1	1	3	0	1	4
-589.356689453125	-1	0	1	1	3	0	3	4
-589.356689453125	-1	0	1	1	3	0	7	4
-589.3507690429688	-1	0	1	1	3	1	0	4
-589.2850952148438	-1	0	1	1	3	1	1	4
-589.2850952148438	-1	0	1	1	3	1	3	4
-589.2850952148438	-1	0	1	1	3	1	7	4
-589.2850952148438	-1	0	1	1	3	1	2	4
-589.34326171875	-1	0	1	1	3	3	1	4
-589.286376953125	-1	0	3	1	3	1	2	4
-589.34326171875	-1	0	1	1	3	3	3	4
-589.34326171875	-1	0	1	1	3	3	7	4
-589.2850952148438	-1	0	7	1	3	1	2	4
-589.3331909179688	-1	0	1	1	3	7	5	4
-589.3331909179688	-1	0	1	1	3	7	7	4
-589.34326171875	-1	0	1	1	3	3	5	4
-589.3331909179688	-1	0	1	1	3	7	3	4
-589.2850952148438	-1	0	1	1	3	1	5	4
-589.3331909179688	-1	0	1	1	3	7	1	4
-589.286376953125	-1	0	3	1	3	1	1	4
-589.2951049804688	-1	0	3	1	3	1	3	4
-589.286376953125	-1	0	3	1	3	1	7	4
-589.34326171875	-1	0	1	1	3	3	2	4
-589.34326171875	-1	0	7	1	3	3	2	4
-589.3344116210938	-1	0	3	1	3	7	5	4
-589.3344116210938	-1	0	3	1	3	7	7	4
-589.3431396484375	-1	0	3	1	3	7	3	4
-589.286376953125	-1	0	3	1	3	1	5	4
-589.3344116210938	-1	0	3	1	3	7	1	4
-589.3344116210938	-1	0	3	1	3	7	2	4
-589.34326171875	-1	0	7	1	3	3	3	4
-589.34326171875	-1	0	7	1	3	3	7	4
-589.34326171875	-1	0	7	1	3	3	5	4
-589.3566284179688	-1	0	1	1	3	0	5	4
-589.2850952148438	-1	0	7	1	3	1	1	4
-589.2850952148438	-1	0	7	1	3	1	3	4
-589.2850952148438	-1	0	7	1	3	1	7	4
-589.3331909179688	-1	0	1	1	3	7	2	4
-589.34326171875	-1	0	7	1	3	3	1	4
-589.2850952148438	-1	0	7	1	3	1	5	4
-589.35791015625	-1	0	3	1	3	0	1	4
-589.3666381835938	-1	0	3	1	3	0	3	4
-589.35791015625	-1	0	3	1	3	0	7	4
-589.35205078125	-1	0	3	1	3	1	0	4
-589.3578491210938	-1	0	3	1	3	0	5	4
-589.356689453125	-1	0	7	1	3	0	1	4
-589.356689453125	-1	0	7	1	3	0	3	4
-589.356689453125	-1	0	7	1	3	0	7	4
-589.3507690429688	-1	0	7	1	3	1	0	4
-589.3566284179688	-1	0	7	1	3	0	5	4
