llh	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7
-466.3809814453125	-1	0	0	1	0	3	4	3
-466.4141540527344	-1	0	0	1	0	4	0	3
-466.37042236328125	-1	0	0	1	0	4	7	3
-466.41937255859375	-1	0	0	0	3	4	1	4
-466.3652648925781	-1	0	0	0	3	4	1	1
-466.4173278808594	-1	0	0	0	3	4	7	1
-466.3724670410156	-1	0	0	1	0	4	3	4
-466.318359375	-1	0	0	1	0	4	4	3
-466.37567138671875	-1	0	0	0	3	4	4	1
-466.41937255859375	-1	0	1	0	3	4	1	4
-466.3652648925781	-1	0	1	0	3	4	1	1
-466.4173278808594	-1	0	1	0	3	4	7	1
-466.37567138671875	-1	0	1	0	3	4	4	1
-466.3747253417969	-1	0	3	1	0	4	0	4
-466.4163818359375	-1	0	3	1	0	4	4	0
-466.3206481933594	-1	0	3	1	0	4	0	3
-466.37042236328125	-1	0	3	1	0	4	7	3
-466.4163818359375	-1	0	3	1	0	4	3	0
-466.3724670410156	-1	0	3	1	0	4	3	4
-466.318359375	-1	0	3	1	0	4	4	3
-466.3906555175781	-1	0	4	1	0	3	0	3
-466.4163818359375	-1	0	4	1	0	3	4	0
-466.3801574707031	-1	0	4	1	0	3	4	3
-466.3206481933594	-1	0	4	1	0	4	0	3
-466.37042236328125	-1	0	4	1	0	4	7	3
-466.4163818359375	-1	0	4	1	0	4	3	0
-466.3652648925781	-1	0	4	0	3	4	1	1
-466.4173278808594	-1	0	4	0	3	4	7	1
-466.3689880371094	-1	0	4	1	0	4	4	3
-466.3906555175781	-1	0	6	1	0	3	0	3
-466.3747253417969	-1	0	6	1	0	4	0	4
-466.4163818359375	-1	0	6	1	0	4	4	0
-466.3747253417969	-1	0	6	1	0	3	0	4
-466.4163818359375	-1	0	6	1	0	3	4	0
-466.3801574707031	-1	0	6	1	0	3	4	3
-466.3206481933594	-1	0	6	1	0	4	0	3
-466.37042236328125	-1	0	6	1	0	4	7	3
-466.4163818359375	-1	0	6	1	0	4	3	0
-466.41937255859375	-1	0	6	0	3	4	1	4
-466.3652648925781	-1	0	6	0	3	4	1	1
-466.4173278808594	-1	0	6	0	3	4	7	1
-466.3724670410156	-1	0	6	1	0	4	3	4
-466.318359375	-1	0	6	1	0	4	4	3
-466.37567138671875	-1	0	6	0	3	4	4	1
-466.3975524902344	-1	0	7	1	0	3	0	3
-466.3753356933594	-1	0	7	1	0	4	0	4
-466.4169921875	-1	0	7	1	0	4	4	0
-466.3753356933594	-1	0	7	1	0	3	0	4
-466.4169921875	-1	0	7	1	0	3	4	0
-466.3864440917969	-1	0	7	1	0	3	4	3
-466.3212585449219	-1	0	7	1	0	4	0	3
-466.4169921875	-1	0	7	1	0	4	3	0
-466.41998291015625	-1	0	7	0	3	4	1	4
-466.3658752441406	-1	0	7	0	3	4	1	1
-466.3730773925781	-1	0	7	1	0	4	3	4
-466.3189697265625	-1	0	7	1	0	4	4	3
-466.37628173828125	-1	0	7	0	3	4	4	1
