llh	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7
-614.4124145507812	-1	0	3	1	0	2	2	3
-614.3577880859375	-1	0	3	1	0	2	3	3
-614.4596557617188	-1	0	3	1	3	0	2	4
-614.3577880859375	-1	0	3	1	0	2	5	3
-614.4462280273438	-1	0	3	1	0	2	0	3
-614.4124145507812	-1	0	3	1	3	2	2	4
-614.3743286132812	-1	0	3	1	3	2	3	4
-614.4371337890625	-1	0	3	1	3	2	4	3
-614.4124145507812	-1	0	3	1	3	2	2	3
-614.3577880859375	-1	0	3	1	3	2	5	3
-614.3577880859375	-1	0	3	1	3	2	5	4
-614.4124145507812	-1	0	3	1	0	2	2	4
-614.3577880859375	-1	0	3	1	3	2	0	4
-614.4462280273438	-1	0	3	1	0	2	0	4
-614.3577880859375	-1	0	3	1	0	2	3	4
-614.4371337890625	-1	0	3	1	0	2	4	3
-614.4371337890625	-1	0	3	1	3	2	4	0
-614.4596557617188	-1	0	3	1	3	0	2	3
-614.4124145507812	-1	0	3	1	3	2	2	0
-614.3577880859375	-1	0	3	1	3	2	0	3
-614.387451171875	-1	0	3	1	3	2	0	0
-614.3812866210938	-1	0	3	1	0	3	2	4
-614.3743286132812	-1	0	3	1	3	2	3	0
-614.4596557617188	-1	0	3	1	3	0	5	3
-614.4596557617188	-1	0	3	1	3	0	5	4
-614.3577880859375	-1	0	3	1	3	2	5	0
-614.3812866210938	-1	0	3	1	0	3	5	4
-614.3577880859375	-1	0	3	1	0	2	5	4
