llh	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7
-554.403564453125	-1	4	0	0	0	1	1	1
-554.403564453125	-1	4	0	0	0	1	1	4
-554.3606567382812	-1	4	0	1	0	0	3	1
-554.364501953125	-1	4	0	0	0	1	5	1
-554.3606567382812	-1	4	0	1	0	0	3	4
-554.364501953125	-1	4	0	0	0	1	5	4
-554.4036865234375	-1	4	0	0	0	1	1	2
-554.364501953125	-1	4	0	0	0	1	3	1
-554.364501953125	-1	4	0	0	0	1	3	4
-554.3606567382812	-1	4	0	1	0	0	5	4
-554.3606567382812	-1	4	0	1	0	0	5	1
-554.364501953125	-1	4	0	0	0	3	1	1
-554.364501953125	-1	4	0	0	0	3	1	4
-554.3605346679688	-1	4	0	1	0	3	0	1
-554.448486328125	-1	4	0	1	0	3	0	0
-554.360595703125	-1	4	0	1	0	0	3	2
-554.3605346679688	-1	4	0	1	0	3	0	4
-554.4358520507812	-1	4	4	0	0	1	1	2
-554.3605346679688	-1	4	1	1	0	0	3	2
-554.3605346679688	-1	4	1	0	0	1	5	2
-554.3605346679688	-1	4	0	1	0	3	5	1
-554.3676147460938	-1	4	4	1	0	0	3	2
-554.3676147460938	-1	4	4	0	0	1	5	2
-554.3605346679688	-1	4	0	1	0	3	5	4
-554.4628295898438	-1	4	0	1	0	0	5	3
-554.3646850585938	-1	4	0	0	0	1	5	2
-554.364501953125	-1	4	0	0	0	3	5	1
-554.3946533203125	-1	4	0	1	0	3	5	0
-554.360595703125	-1	4	1	1	0	0	3	0
-554.3605346679688	-1	4	1	1	0	0	3	1
-554.3605346679688	-1	4	1	0	0	1	5	1
-554.3605346679688	-1	4	1	1	0	0	3	4
-554.3605346679688	-1	4	1	0	0	1	5	4
-554.364501953125	-1	4	1	0	0	1	5	0
-554.3605346679688	-1	4	1	0	0	1	3	1
-554.364501953125	-1	4	1	0	0	1	3	0
-554.360595703125	-1	4	1	1	0	0	5	0
-554.3605346679688	-1	4	1	0	0	1	3	4
-554.3605346679688	-1	4	1	1	0	0	5	4
-554.3605346679688	-1	4	1	1	0	0	5	1
-554.364501953125	-1	4	1	0	0	3	1	0
-554.3605346679688	-1	4	1	0	0	3	1	1
-554.3605346679688	-1	4	1	0	0	1	3	2
-554.3605346679688	-1	4	1	0	0	3	1	4
-554.3605346679688	-1	4	1	1	0	3	0	1
-554.3605346679688	-1	4	1	1	0	3	0	0
-554.3605346679688	-1	4	1	1	0	3	0	4
-554.3646850585938	-1	4	0	0	0	1	3	2
-554.360595703125	-1	4	0	1	0	0	5	2
-554.364501953125	-1	4	1	0	0	3	5	0
-554.3676147460938	-1	4	4	0	0	1	3	2
-554.3676147460938	-1	4	4	1	0	0	5	2
-554.3605346679688	-1	4	1	0	0	3	5	4
-554.3605346679688	-1	4	1	1	0	0	5	2
-554.4627075195312	-1	4	1	1	0	0	5	3
-554.4627075195312	-1	4	1	0	0	1	5	3
-554.3605346679688	-1	4	1	0	0	3	5	1
-554.3605346679688	-1	4	1	1	0	3	5	0
-554.3646850585938	-1	4	0	0	0	3	1	2
-554.3605346679688	-1	4	1	0	0	3	1	2
-554.3676147460938	-1	4	4	0	0	3	1	2
-554.4627685546875	-1	4	3	0	0	1	5	1
-554.4627685546875	-1	4	3	0	0	1	5	4
-554.3605346679688	-1	4	1	1	0	3	0	2
-554.3605346679688	-1	4	0	1	0	3	0	2
-554.3676147460938	-1	4	4	1	0	3	0	2
-554.4628295898438	-1	4	3	1	0	0	5	0
-554.4627685546875	-1	4	3	1	0	0	5	4
-554.4627685546875	-1	4	3	1	0	0	5	1
-554.4398803710938	-1	4	4	0	0	1	1	0
-554.36767578125	-1	4	4	1	0	0	3	0
-554.4358520507812	-1	4	4	0	0	1	1	1
-554.3676147460938	-1	4	4	1	0	0	3	1
-554.3676147460938	-1	4	4	0	0	1	5	1
-554.4439086914062	-1	4	4	1	0	0	3	4
-554.4439086914062	-1	4	4	0	0	1	5	4
-554.37158203125	-1	4	4	0	0	1	5	0
-554.3646850585938	-1	4	0	0	0	3	5	2
-554.364501953125	-1	4	0	0	0	3	5	4
-554.3605346679688	-1	4	1	1	0	3	5	1
-554.3676147460938	-1	4	4	0	0	1	3	1
-554.37158203125	-1	4	4	0	0	1	3	0
-554.36767578125	-1	4	4	1	0	0	5	0
-554.4439086914062	-1	4	4	0	0	1	3	4
-554.4439086914062	-1	4	4	1	0	0	5	4
-554.3676147460938	-1	4	4	1	0	0	5	1
-554.3605346679688	-1	4	1	1	0	3	5	2
-554.3605346679688	-1	4	1	1	0	3	5	4
-554.37158203125	-1	4	4	0	0	3	1	0
-554.3676147460938	-1	4	4	0	0	3	1	1
-554.4439086914062	-1	4	4	0	0	3	1	4
-554.3676147460938	-1	4	4	1	0	3	0	1
-554.3676147460938	-1	4	4	1	0	3	0	0
-554.4439086914062	-1	4	4	1	0	3	0	4
-554.37158203125	-1	4	4	0	0	3	5	0
-554.3676147460938	-1	4	4	1	0	3	5	1
-554.4439086914062	-1	4	4	0	0	3	5	4
-554.4439086914062	-1	4	4	1	0	3	5	4
-554.3676147460938	-1	4	4	0	0	3	5	1
-554.3676147460938	-1	4	4	0	0	3	5	2
-554.3676147460938	-1	4	4	1	0	3	5	0
-554.3676147460938	-1	4	4	1	0	3	5	2
-554.3605346679688	-1	4	1	0	0	3	5	2
-554.3605346679688	-1	4	0	1	0	3	5	2
