llh	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7
-565.9378051757812	-1	0	0	4	0	0	3	5
-565.9207763671875	-1	0	3	4	0	0	3	5
-565.9207763671875	-1	0	4	4	0	0	3	5
-565.9207763671875	-1	0	5	4	0	0	3	5
-565.9214477539062	-1	0	6	4	0	0	3	5
-565.9207763671875	-1	0	7	4	0	0	3	5
-565.9378051757812	-1	2	0	4	0	0	3	5
-565.9207763671875	-1	2	3	4	0	0	3	5
-565.9207763671875	-1	2	4	4	0	0	3	5
-565.9207763671875	-1	2	5	4	0	0	3	5
-565.9214477539062	-1	2	6	4	0	0	3	5
-565.9207763671875	-1	2	7	4	0	0	3	5
-565.9378051757812	-1	3	0	4	0	0	3	5
-565.9207763671875	-1	3	3	4	0	0	3	5
-565.9207763671875	-1	3	4	4	0	0	3	5
-565.9207763671875	-1	3	5	4	0	0	3	5
-565.9214477539062	-1	3	6	4	0	0	3	5
-565.9207763671875	-1	3	7	4	0	0	3	5
-565.9378051757812	-1	4	0	4	0	0	3	5
-565.9207763671875	-1	4	3	4	0	0	3	5
-565.9207763671875	-1	4	4	4	0	0	3	5
-565.9207763671875	-1	4	5	4	0	0	3	5
-565.9214477539062	-1	4	6	4	0	0	3	5
-565.9207763671875	-1	4	7	4	0	0	3	5
-565.9378051757812	-1	5	0	4	0	0	3	5
-565.9207763671875	-1	5	3	4	0	0	3	5
-565.9207763671875	-1	5	4	4	0	0	3	5
-565.9207763671875	-1	5	5	4	0	0	3	5
-565.9214477539062	-1	5	6	4	0	0	3	5
-565.9207763671875	-1	5	7	4	0	0	3	5
-565.9378051757812	-1	6	0	4	0	0	3	5
-565.9207763671875	-1	6	3	4	0	0	3	5
-565.9207763671875	-1	6	4	4	0	0	3	5
-565.9207763671875	-1	6	5	4	0	0	3	5
-565.9214477539062	-1	6	6	4	0	0	3	5
-565.9207763671875	-1	6	7	4	0	0	3	5
-565.9378051757812	-1	7	0	4	0	0	3	5
-565.9207763671875	-1	7	3	4	0	0	3	5
-565.9207763671875	-1	7	4	4	0	0	3	5
-565.9207763671875	-1	7	5	4	0	0	3	5
-565.9214477539062	-1	7	6	4	0	0	3	5
-565.9207763671875	-1	7	7	4	0	0	3	5
