llh	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7
-477.1717224121094	-1	0	3	0	0	0	2	0
-477.1796875	-1	0	3	0	0	0	2	2
-477.1990661621094	-1	0	3	0	0	0	2	6
-477.1717224121094	-1	0	3	0	0	2	2	0
-477.1878662109375	-1	0	3	0	0	2	2	2
-477.1990661621094	-1	0	3	0	0	2	2	6
-477.2668151855469	-1	0	3	0	0	7	2	2
-477.25885009765625	-1	0	3	0	0	7	2	0
-477.2266540527344	-1	0	3	0	2	0	0	2
-477.2421875	-1	0	3	0	2	0	2	0
-477.26953125	-1	0	3	0	2	0	2	6
-477.2266540527344	-1	0	3	0	2	2	0	2
-477.2421875	-1	0	3	0	2	2	2	0
-477.2539978027344	-1	0	3	0	2	2	0	6
-477.2539978027344	-1	0	3	0	2	0	0	6
-477.2223815917969	-1	0	3	0	3	0	2	0
-477.2306823730469	-1	0	3	0	3	0	2	2
-477.2497253417969	-1	0	3	0	3	0	2	6
-477.26953125	-1	0	3	0	2	2	2	6
-477.2223815917969	-1	0	3	0	3	2	2	0
-477.1878662109375	-1	0	3	0	6	2	2	2
-477.2668151855469	-1	0	3	0	6	7	2	2
-477.2497253417969	-1	0	3	0	3	2	2	6
-477.2266540527344	-1	0	3	0	6	0	0	2
-477.1717224121094	-1	0	3	0	6	0	2	0
-477.1796875	-1	0	3	0	6	0	2	2
-477.2266540527344	-1	0	3	0	6	2	0	2
-477.1717224121094	-1	0	3	0	6	2	2	0
-477.25885009765625	-1	0	3	0	6	7	2	0
-477.1746826171875	-1	2	3	0	0	0	0	2
-477.2186584472656	-1	2	0	0	0	3	3	3
-477.2460021972656	-1	2	0	0	0	3	3	6
-477.1746826171875	-1	2	3	0	0	2	0	2
-477.2186279296875	-1	2	0	0	0	2	3	3
-477.2460021972656	-1	2	0	0	0	2	3	6
-477.2457275390625	-1	2	3	0	0	2	0	0
-477.2186279296875	-1	2	0	0	0	2	3	2
-477.2020568847656	-1	2	3	0	0	2	0	6
-477.20147705078125	-1	2	0	0	3	0	3	3
-477.225341796875	-1	2	0	0	3	0	3	6
-477.2186279296875	-1	2	0	0	0	3	3	2
-477.1812438964844	-1	2	0	0	3	3	3	0
-477.26971435546875	-1	2	0	0	3	3	3	3
-477.1990661621094	-1	2	0	0	3	3	3	6
-477.2623291015625	-1	2	0	0	3	7	3	3
-477.1717224121094	-1	2	0	0	6	3	3	3
-477.25885009765625	-1	2	0	0	6	7	3	3
-477.27587890625	-1	2	0	0	3	7	3	0
-477.197998046875	-1	2	0	0	6	0	3	3
-477.1812438964844	-1	2	0	0	6	3	3	0
-477.27587890625	-1	2	0	0	6	7	3	0
-477.2618103027344	-1	2	3	0	0	7	0	2
-477.1717224121094	-1	2	3	0	2	0	0	2
-477.197998046875	-1	2	0	0	2	0	3	3
-477.225341796875	-1	2	0	0	2	0	3	6
-477.197998046875	-1	2	0	0	2	0	3	2
-477.1812438964844	-1	2	0	0	2	3	3	0
-477.1717224121094	-1	2	0	0	2	3	3	3
-477.1990661621094	-1	2	0	0	2	3	3	6
-477.25885009765625	-1	2	0	0	2	7	3	3
-477.27587890625	-1	2	0	0	2	7	3	0
-477.1812438964844	-1	2	0	0	2	2	3	0
-477.1717224121094	-1	2	3	0	2	2	0	2
-477.1717224121094	-1	2	0	0	2	2	3	3
-477.1990661621094	-1	2	0	0	2	2	3	6
-477.1717224121094	-1	2	3	0	2	2	0	0
-477.1717224121094	-1	2	0	0	2	2	3	2
-477.1990661621094	-1	2	3	0	2	2	0	6
-477.1717224121094	-1	2	3	0	2	0	0	0
-477.1990661621094	-1	2	3	0	2	0	0	6
-477.25885009765625	-1	2	3	0	2	7	0	0
-477.1717224121094	-1	2	0	0	2	3	3	2
-477.25885009765625	-1	2	3	0	2	7	0	2
-477.25885009765625	-1	2	0	0	2	7	3	2
-477.2457275390625	-1	2	3	0	0	0	0	0
-477.2020568847656	-1	2	3	0	0	0	0	6
-477.2223815917969	-1	2	3	0	3	0	0	2
-477.197998046875	-1	2	0	0	3	0	3	2
-477.1717224121094	-1	2	3	0	6	0	0	0
-477.25885009765625	-1	2	3	0	6	7	0	0
-477.1812438964844	-1	2	0	0	3	2	3	0
-477.2223815917969	-1	2	3	0	3	2	0	2
-477.1752014160156	-1	2	0	0	3	2	3	3
-477.1990661621094	-1	2	0	0	3	2	3	6
-477.2223815917969	-1	2	3	0	3	2	0	0
-477.1717224121094	-1	2	0	0	3	2	3	2
-477.2497253417969	-1	2	3	0	3	2	0	6
-477.2223815917969	-1	2	3	0	3	0	0	0
-477.2497253417969	-1	2	3	0	3	0	0	6
-477.1717224121094	-1	2	0	0	3	3	3	2
-477.25885009765625	-1	2	0	0	3	7	3	2
-477.1717224121094	-1	2	3	0	6	0	0	2
-477.197998046875	-1	2	0	0	6	0	3	2
-477.1812438964844	-1	2	0	0	6	2	3	0
-477.1717224121094	-1	2	3	0	6	2	0	2
-477.1717224121094	-1	2	0	0	6	2	3	3
-477.1717224121094	-1	2	3	0	6	2	0	0
-477.1717224121094	-1	2	0	0	6	2	3	2
-477.1717224121094	-1	2	0	0	6	3	3	2
-477.25885009765625	-1	2	3	0	6	7	0	2
-477.25885009765625	-1	2	0	0	6	7	3	2
-477.2444152832031	-1	3	3	0	0	0	0	2
-477.2539367675781	-1	3	0	0	0	2	2	2
-477.2460021972656	-1	3	0	0	0	2	2	6
-477.22344970703125	-1	3	3	0	0	0	2	0
-477.261962890625	-1	3	3	0	0	0	2	2
-477.2508239746094	-1	3	3	0	0	0	2	6
-477.254150390625	-1	3	0	0	0	3	3	6
-477.2444152832031	-1	3	3	0	0	2	0	2
-477.254150390625	-1	3	0	0	0	2	3	6
-477.2186279296875	-1	3	0	0	0	2	2	3
-477.26953125	-1	3	0	0	2	2	2	6
-477.22344970703125	-1	3	3	0	0	2	2	0
-477.226806640625	-1	3	0	0	0	2	3	2
-477.27178955078125	-1	3	3	0	0	2	0	6
-477.1878662109375	-1	3	0	0	6	2	2	2
-477.2668151855469	-1	3	0	0	6	7	2	2
-477.2457580566406	-1	3	0	0	0	3	2	2
-477.2460021972656	-1	3	0	0	0	3	2	6
-477.2186279296875	-1	3	0	0	0	3	2	3
-477.2508239746094	-1	3	3	0	0	2	2	6
-477.226806640625	-1	3	0	0	0	3	3	2
-477.2771301269531	-1	3	0	0	6	3	3	3
-477.2059631347656	-1	3	0	0	6	0	2	2
-477.1812438964844	-1	3	0	0	6	2	2	0
-477.1832580566406	-1	3	0	0	6	3	3	0
-477.27587890625	-1	3	0	0	6	7	2	0
-477.22344970703125	-1	3	3	0	2	0	0	2
-477.2254638671875	-1	3	0	0	2	0	3	6
-477.2684631347656	-1	3	0	0	2	0	2	3
-477.1981201171875	-1	3	0	0	2	0	3	2
-477.1832580566406	-1	3	0	0	2	3	3	0
-477.2771301269531	-1	3	0	0	2	3	3	3
-477.1991882324219	-1	3	0	0	2	3	3	6
-477.1832580566406	-1	3	0	0	2	2	3	0
-477.22344970703125	-1	3	3	0	2	2	0	2
-477.2575988769531	-1	3	0	0	2	2	3	3
-477.1991882324219	-1	3	0	0	2	2	3	6
-477.2421875	-1	3	0	0	2	2	2	3
-477.2235412597656	-1	3	3	0	2	2	0	0
-477.1718444824219	-1	3	0	0	2	2	3	2
-477.2508239746094	-1	3	3	0	2	2	0	6
-477.2235412597656	-1	3	3	0	2	0	0	0
-477.2508239746094	-1	3	3	0	2	0	0	6
-477.26953125	-1	3	0	0	2	3	2	6
-477.2421875	-1	3	0	0	2	3	2	3
-477.1718444824219	-1	3	0	0	2	3	3	2
-477.25897216796875	-1	3	0	0	2	7	3	2
-477.27178955078125	-1	3	3	0	0	0	0	6
-477.2059631347656	-1	3	0	0	3	0	2	2
-477.225341796875	-1	3	0	0	3	0	2	6
-477.197998046875	-1	3	0	0	3	0	2	3
-477.1812438964844	-1	3	0	0	3	2	2	0
-477.1878662109375	-1	3	0	0	3	2	2	2
-477.1990661621094	-1	3	0	0	3	2	2	6
-477.2668151855469	-1	3	0	0	3	7	2	2
-477.2235412597656	-1	3	3	0	6	0	0	0
-477.27587890625	-1	3	0	0	3	7	2	0
-477.1717224121094	-1	3	0	0	3	2	2	3
-477.1812438964844	-1	3	0	0	3	3	2	0
-477.1796875	-1	3	0	0	3	3	2	2
-477.1990661621094	-1	3	0	0	3	3	2	6
-477.1717224121094	-1	3	0	0	3	3	2	3
-477.25885009765625	-1	3	0	0	3	7	2	3
-477.22344970703125	-1	3	3	0	6	0	0	2
-477.197998046875	-1	3	0	0	6	0	2	3
-477.22344970703125	-1	3	3	0	6	0	2	0
-477.1981201171875	-1	3	0	0	6	0	3	2
-477.261962890625	-1	3	3	0	6	0	2	2
-477.1832580566406	-1	3	0	0	6	2	3	0
-477.22344970703125	-1	3	3	0	6	2	0	2
-477.2575988769531	-1	3	0	0	6	2	3	3
-477.1717224121094	-1	3	0	0	6	2	2	3
-477.22344970703125	-1	3	3	0	6	2	2	0
-477.2235412597656	-1	3	3	0	6	2	0	0
-477.1718444824219	-1	3	0	0	6	2	3	2
-477.1878662109375	-1	6	3	0	6	2	2	2
-477.2668151855469	-1	6	3	0	6	7	2	2
-477.1812438964844	-1	3	0	0	6	3	2	0
-477.1796875	-1	3	0	0	6	3	2	2
-477.1717224121094	-1	3	0	0	6	3	2	3
-477.1718444824219	-1	3	0	0	6	3	3	2
-477.25885009765625	-1	3	0	0	6	7	2	3
-477.25897216796875	-1	3	0	0	6	7	3	2
-477.1746826171875	-1	6	3	0	0	0	0	2
-477.2539367675781	-1	6	0	0	0	2	2	2
-477.1717224121094	-1	6	3	0	0	0	2	0
-477.1796875	-1	6	3	0	0	0	2	2
-477.2186584472656	-1	6	0	0	0	3	3	3
-477.1746826171875	-1	6	3	0	0	2	0	2
-477.2186279296875	-1	6	0	0	0	2	3	3
-477.2186279296875	-1	6	0	0	0	2	2	3
-477.1717224121094	-1	6	3	0	0	2	2	0
-477.2457275390625	-1	6	3	0	0	2	0	0
-477.2186279296875	-1	6	0	0	0	2	3	2
-477.1878662109375	-1	6	0	0	6	2	2	2
-477.2668151855469	-1	6	0	0	6	7	2	2
-477.2457580566406	-1	6	0	0	0	3	2	2
-477.20147705078125	-1	6	0	0	3	0	3	3
-477.2186279296875	-1	6	0	0	0	3	2	3
-477.1878662109375	-1	6	3	0	0	2	2	2
-477.2668151855469	-1	6	3	0	0	7	2	2
-477.2186279296875	-1	6	0	0	0	3	3	2
-477.1812438964844	-1	6	0	0	3	3	3	0
-477.26971435546875	-1	6	0	0	3	3	3	3
-477.2623291015625	-1	6	0	0	3	7	3	3
-477.1717224121094	-1	6	0	0	6	3	3	3
-477.25885009765625	-1	6	0	0	6	7	3	3
-477.27587890625	-1	6	0	0	3	7	3	0
-477.2059631347656	-1	6	0	0	6	0	2	2
-477.197998046875	-1	6	0	0	6	0	3	3
-477.1812438964844	-1	6	0	0	6	2	2	0
-477.1812438964844	-1	6	0	0	6	3	3	0
-477.27587890625	-1	6	0	0	6	7	2	0
-477.27587890625	-1	6	0	0	6	7	3	0
-477.2618103027344	-1	6	3	0	0	7	0	2
-477.25885009765625	-1	6	3	0	0	7	2	0
-477.1717224121094	-1	6	3	0	2	0	0	2
-477.197998046875	-1	6	0	0	2	0	3	3
-477.2684631347656	-1	6	0	0	2	0	2	3
-477.2421875	-1	6	3	0	2	0	2	0
-477.197998046875	-1	6	0	0	2	0	3	2
-477.1812438964844	-1	6	0	0	2	3	3	0
-477.1717224121094	-1	6	0	0	2	3	3	3
-477.25885009765625	-1	6	0	0	2	7	3	3
-477.27587890625	-1	6	0	0	2	7	3	0
-477.1812438964844	-1	6	0	0	2	2	3	0
-477.1717224121094	-1	6	3	0	2	2	0	2
-477.1717224121094	-1	6	0	0	2	2	3	3
-477.2421875	-1	6	0	0	2	2	2	3
-477.2421875	-1	6	3	0	2	2	2	0
-477.1717224121094	-1	6	3	0	2	2	0	0
-477.1717224121094	-1	6	0	0	2	2	3	2
-477.1717224121094	-1	6	3	0	2	0	0	0
-477.25885009765625	-1	6	3	0	2	7	0	0
-477.2421875	-1	6	0	0	2	3	2	3
-477.1717224121094	-1	6	0	0	2	3	3	2
-477.25885009765625	-1	6	3	0	2	7	0	2
-477.25885009765625	-1	6	0	0	2	7	3	2
-477.2457275390625	-1	6	3	0	0	0	0	0
-477.2059631347656	-1	6	0	0	3	0	2	2
-477.2223815917969	-1	6	3	0	3	0	0	2
-477.197998046875	-1	6	0	0	3	0	2	3
-477.1812438964844	-1	6	0	0	3	2	2	0
-477.1878662109375	-1	6	0	0	3	2	2	2
-477.2223815917969	-1	6	3	0	3	0	2	0
-477.2668151855469	-1	6	0	0	3	7	2	2
-477.197998046875	-1	6	0	0	3	0	3	2
-477.2306823730469	-1	6	3	0	3	0	2	2
-477.1717224121094	-1	6	3	0	6	0	0	0
-477.25885009765625	-1	6	3	0	6	7	0	0
-477.27587890625	-1	6	0	0	3	7	2	0
-477.1812438964844	-1	6	0	0	3	2	3	0
-477.2223815917969	-1	6	3	0	3	2	0	2
-477.1752014160156	-1	6	0	0	3	2	3	3
-477.1717224121094	-1	6	0	0	3	2	2	3
-477.2223815917969	-1	6	3	0	3	2	2	0
-477.2223815917969	-1	6	3	0	3	2	0	0
-477.1717224121094	-1	6	0	0	3	2	3	2
-477.2223815917969	-1	6	3	0	3	0	0	0
-477.1812438964844	-1	6	0	0	3	3	2	0
-477.1796875	-1	6	0	0	3	3	2	2
-477.1717224121094	-1	6	0	0	3	3	2	3
-477.1717224121094	-1	6	0	0	3	3	3	2
-477.25885009765625	-1	6	0	0	3	7	2	3
-477.25885009765625	-1	6	0	0	3	7	3	2
-477.1717224121094	-1	6	3	0	6	0	0	2
-477.197998046875	-1	6	0	0	6	0	2	3
-477.1717224121094	-1	6	3	0	6	0	2	0
-477.197998046875	-1	6	0	0	6	0	3	2
-477.1796875	-1	6	3	0	6	0	2	2
-477.1812438964844	-1	6	0	0	6	2	3	0
-477.1717224121094	-1	6	3	0	6	2	0	2
-477.1717224121094	-1	6	0	0	6	2	3	3
-477.1717224121094	-1	6	0	0	6	2	2	3
-477.1717224121094	-1	6	3	0	6	2	2	0
-477.1717224121094	-1	6	3	0	6	2	0	0
