tree	llh	pi_0	pi_1	pi_3	pi_4	pi_5	pi_7	f_0_0	f_0_1	f_0_3	f_0_4	f_0_5	f_0_7	f_1_0	f_1_1	f_1_3	f_1_4	f_1_5	f_1_7
0	-413.96044921875	-1	0	0	3	4	1	0.3368421196937561	0.19148936867713928	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.09574468433856964	0.30476194620132446	0.11538461595773697	0.14152728021144867	0.14152728021144867	0.11764705926179886	0.022727273404598236
1	-414.01556396484375	-1	0	0	3	1	4	0.3368421196937561	0.19148936867713928	0.12345679104328156	0.08870076388120651	9.999999974752427e-07	0.08870075643062592	0.3047619163990021	0.11655905842781067	0.14152728021144867	0.14152728021144867	0.11655905842781067	0.022727273404598236
2	-414.0145568847656	-1	0	0	3	4	4	0.3368421196937561	0.19148936867713928	0.12345679104328156	0.08870074898004532	1.622538547962904e-09	0.08870075643062592	0.30476194620132446	0.11538461595773697	0.14152728021144867	0.14152728021144867	0.11764705926179886	0.022727273404598236
3	-414.0115661621094	-1	0	1	0	3	0	0.35064804553985596	0.1821102797985077	0.12345679104328156	0.07826616615056992	9.999999974752427e-07	0.09027162939310074	0.3047619163990021	0.12479468435049057	0.12479468435049057	0.1538461595773697	0.11764705926179886	0.022727273404598236
4	-414.0115661621094	-1	0	1	0	4	0	0.35064804553985596	0.1821102797985077	0.12345679104328156	0.07826616615056992	9.999999974752427e-07	0.09027162939310074	0.3047619163990021	0.12479468435049057	0.12479468435049057	0.1538461595773697	0.11764705926179886	0.022727273404598236
5	-413.975341796875	-1	0	1	0	3	3	0.3368421196937561	0.19148936867713928	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.09574468433856964	0.3047619163990021	0.12913671135902405	0.12913672626018524	0.1538461595773697	0.10916149616241455	0.019975226372480392
6	-413.9135437011719	-1	0	1	0	4	3	0.3368421196937561	0.19148936867713928	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.09574468433856964	0.3047618865966797	0.12479468435049057	0.12479468435049057	0.1538461595773697	0.11764705926179886	0.022727273404598236
7	-413.9676513671875	-1	0	1	0	3	4	0.3368421196937561	0.19148936867713928	0.12345679104328156	0.08870076388120651	9.999999974752427e-07	0.08870075643062592	0.3047618865966797	0.12479468435049057	0.12479468435049057	0.1538461446762085	0.11764705926179886	0.022727273404598236
8	-413.9676513671875	-1	0	1	0	4	4	0.3368421196937561	0.19148936867713928	0.12345679104328156	0.08870074898004532	1.622538547962904e-09	0.08870075643062592	0.3047618865966797	0.12479468435049057	0.12479468435049057	0.1538461446762085	0.11764705926179886	0.022727273404598236
