tree	llh	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_7	f_0_0	f_0_1	f_0_2	f_0_3	f_0_4	f_0_5	f_0_7	f_1_0	f_1_1	f_1_2	f_1_3	f_1_4	f_1_5	f_1_7
0	-491.4859924316406	-1	0	0	2	2	0	0	0.5330731868743896	0.05452876165509224	0.3456159830093384	0.07207207381725311	0.13793103396892548	0.04034104198217392	0.092587411403656	0.4283832311630249	1.622538547962904e-09	0.22675099968910217	0.037974681705236435	0.033707864582538605	0.2016322761774063	1.622538547962904e-09
1	-491.47528076171875	-1	2	0	2	2	0	0	0.5288461446762085	0.0555555559694767	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.09401709586381912	0.4283832311630249	9.999999974752427e-07	0.22675099968910217	0.037974681705236435	0.033707864582538605	0.20163224637508392	1.622538547962904e-09
2	-491.47528076171875	-1	3	0	2	2	0	0	0.5288461446762085	0.0555555559694767	0.34951454401016235	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.09401709586381912	0.4283832311630249	9.999999974752427e-07	0.22675096988677979	0.037974681705236435	0.033707864582538605	0.20163224637508392	1.622538547962904e-09
3	-491.47528076171875	-1	4	0	2	2	0	0	0.5288461446762085	0.0555555559694767	0.34951454401016235	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.09401709586381912	0.4283832311630249	9.999999974752427e-07	0.22675096988677979	0.037974681705236435	0.033707864582538605	0.20163224637508392	1.622538547962904e-09
4	-491.47528076171875	-1	7	0	2	2	0	0	0.5288461446762085	0.0555555559694767	0.34951454401016235	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.09401709586381912	0.4283832609653473	1.622538547962904e-09	0.22675099968910217	0.037974681705236435	0.033707864582538605	0.20163226127624512	1.622538547962904e-09
5	-491.47528076171875	-1	0	0	2	2	0	2	0.5288461446762085	0.0555555559694767	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.09401709586381912	0.4283832311630249	1.622538547962904e-09	0.22675098478794098	0.037974681705236435	0.033707864582538605	0.2016322761774063	9.999999974752427e-07
6	-491.4854431152344	-1	2	0	2	2	0	2	0.5288461446762085	0.05443951487541199	0.35359102487564087	0.07075871527194977	0.1359020620584488	0.04123711213469505	0.09249074012041092	0.4283832609653473	9.999999974752427e-07	0.22675104439258575	0.037974681705236435	0.033707864582538605	0.20163224637508392	9.999999974752427e-07
7	-491.47528076171875	-1	3	0	2	2	0	2	0.5288461446762085	0.0555555559694767	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.09401709586381912	0.4283832609653473	9.999999974752427e-07	0.22675098478794098	0.037974681705236435	0.033707864582538605	0.20163224637508392	9.999999974752427e-07
8	-491.47528076171875	-1	4	0	2	2	0	2	0.5288461446762085	0.0555555559694767	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.09401709586381912	0.4283832609653473	9.999999974752427e-07	0.22675098478794098	0.037974681705236435	0.033707864582538605	0.20163224637508392	9.999999974752427e-07
9	-491.47528076171875	-1	7	0	2	2	0	2	0.5288461446762085	0.0555555559694767	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.09401709586381912	0.4283832609653473	9.999999974752427e-07	0.22675098478794098	0.037974681705236435	0.033707864582538605	0.20163224637508392	9.999999974752427e-07
