tree	llh	pi_0	pi_1	pi_3	pi_4	pi_5	pi_6	pi_7	f_0_0	f_0_1	f_0_3	f_0_4	f_0_5	f_0_6	f_0_7	f_1_0	f_1_1	f_1_3	f_1_4	f_1_5	f_1_6	f_1_7
0	-413.829833984375	-1	4	4	0	3	1	0	0.3342544138431549	0.037383176386356354	0.1041666641831398	0.2956635057926178	0.05607476457953453	0.03703703731298447	0.03859088942408562	0.29280951619148254	0.19417475163936615	0.021978022530674934	0.2400331348180771	9.999999974752427e-07	0.01075268816202879	0.05277637019753456
1	-413.829833984375	-1	4	4	0	3	3	0	0.3342544138431549	0.037383176386356354	0.1041666641831398	0.2956635057926178	0.05607476457953453	0.03703703731298447	0.03859088942408562	0.29280951619148254	0.19417475163936615	0.021978022530674934	0.2400331348180771	9.999999974752427e-07	0.01075268816202879	0.05277637019753456
2	-413.829833984375	-1	4	4	0	3	4	0	0.3342544436454773	0.037383176386356354	0.1041666641831398	0.2956635057926178	0.05607476457953453	0.03703703731298447	0.038590893149375916	0.29280951619148254	0.19417475163936615	0.021978022530674934	0.2400331348180771	9.999999974752427e-07	0.01075268816202879	0.05277637019753456
3	-413.8298645019531	-1	4	4	0	3	7	0	0.3342305123806	0.037383176386356354	0.1041666641831398	0.29568055272102356	0.05607476457953453	0.037037041038274765	0.038549941033124924	0.29280951619148254	0.19417475163936615	0.021978022530674934	0.2400331348180771	9.999999974752427e-07	0.01075268816202879	0.05277637019753456
4	-413.829833984375	-1	4	4	0	4	1	0	0.3342544138431549	0.037383176386356354	0.1041666641831398	0.2956635057926178	0.05607476457953453	0.03703703731298447	0.03859088942408562	0.29280951619148254	0.19417475163936615	0.021978022530674934	0.2400331348180771	9.999999974752427e-07	0.01075268816202879	0.05277637019753456
5	-413.829833984375	-1	4	4	0	4	3	0	0.3342544138431549	0.037383176386356354	0.1041666641831398	0.2956635057926178	0.05607476457953453	0.03703703731298447	0.03859088942408562	0.29280951619148254	0.19417475163936615	0.021978022530674934	0.2400331348180771	9.999999974752427e-07	0.01075268816202879	0.05277637019753456
6	-413.829833984375	-1	4	4	0	4	4	0	0.3342544436454773	0.037383176386356354	0.1041666641831398	0.2956635057926178	0.05607476457953453	0.03703703731298447	0.038590893149375916	0.29280951619148254	0.19417475163936615	0.021978022530674934	0.2400331348180771	9.999999974752427e-07	0.01075268816202879	0.05277637019753456
7	-413.8298645019531	-1	4	4	0	4	7	0	0.3342305123806	0.037383176386356354	0.1041666641831398	0.29568055272102356	0.05607476457953453	0.037037041038274765	0.038549941033124924	0.29280951619148254	0.19417475163936615	0.021978022530674934	0.2400331348180771	9.999999974752427e-07	0.01075268816202879	0.05277637019753456
8	-413.82000732421875	-1	4	4	0	3	0	1	0.33258920907974243	0.03904305398464203	0.1041666641831398	0.29719799757003784	0.05607476457953453	0.03539121896028519	0.03904305398464203	0.29113924503326416	0.19417476654052734	0.021978022530674934	0.24137932062149048	9.999999974752427e-07	0.01075268816202879	0.05309734493494034
9	-413.777587890625	-1	4	4	0	3	3	1	0.3232322931289673	0.03904305398464203	0.1041666641831398	0.30612242221832275	0.05607476457953453	0.03703703731298447	0.03904305398464203	0.29113924503326416	0.19417476654052734	0.021978022530674934	0.24137932062149048	9.999999974752427e-07	0.01075268816202879	0.05309734493494034
10	-413.777587890625	-1	4	4	0	3	4	1	0.3232322931289673	0.03904305398464203	0.1041666641831398	0.30612242221832275	0.05607476457953453	0.03703703731298447	0.03904305398464203	0.29113924503326416	0.19417476654052734	0.021978022530674934	0.24137932062149048	9.999999974752427e-07	0.01075268816202879	0.05309734493494034
11	-413.777587890625	-1	4	4	0	3	7	1	0.3232322931289673	0.03904305398464203	0.1041666641831398	0.30612242221832275	0.05607476457953453	0.03703703731298447	0.03904305398464203	0.29113924503326416	0.19417476654052734	0.021978022530674934	0.24137932062149048	9.999999974752427e-07	0.01075268816202879	0.05309734493494034
12	-413.82000732421875	-1	4	4	0	4	0	1	0.33258920907974243	0.03904305398464203	0.1041666641831398	0.29719799757003784	0.05607476457953453	0.03539121896028519	0.03904305398464203	0.29113924503326416	0.19417476654052734	0.021978022530674934	0.24137932062149048	9.999999974752427e-07	0.01075268816202879	0.05309734493494034
13	-413.777587890625	-1	4	4	0	4	3	1	0.3232322931289673	0.03904305398464203	0.1041666641831398	0.30612242221832275	0.05607476457953453	0.03703703731298447	0.03904305398464203	0.29113924503326416	0.19417476654052734	0.021978022530674934	0.24137932062149048	9.999999974752427e-07	0.01075268816202879	0.05309734493494034
14	-413.777587890625	-1	4	4	0	4	4	1	0.3232322931289673	0.03904305398464203	0.1041666641831398	0.30612242221832275	0.05607476457953453	0.03703703731298447	0.03904305398464203	0.29113924503326416	0.19417476654052734	0.021978022530674934	0.24137932062149048	9.999999974752427e-07	0.01075268816202879	0.05309734493494034
15	-413.777587890625	-1	4	4	0	4	7	1	0.3232322931289673	0.03904305398464203	0.1041666641831398	0.30612242221832275	0.05607476457953453	0.03703703731298447	0.03904305398464203	0.29113924503326416	0.19417476654052734	0.021978022530674934	0.24137932062149048	9.999999974752427e-07	0.01075268816202879	0.05309734493494034
16	-413.8619689941406	-1	4	4	0	3	1	4	0.3232323229312897	0.037383176386356354	0.1041666641831398	0.30612245202064514	0.05607476457953453	0.03703703731298447	0.040816325694322586	0.29113924503326416	0.18496978282928467	0.019808679819107056	0.25455915927886963	9.999999974752427e-07	0.01075268816202879	0.04978068917989731
17	-413.8619689941406	-1	4	4	0	3	3	4	0.3232323229312897	0.037383176386356354	0.1041666641831398	0.30612245202064514	0.05607476457953453	0.03703703731298447	0.040816325694322586	0.29113924503326416	0.18496978282928467	0.019808679819107056	0.25455915927886963	9.999999974752427e-07	0.01075268816202879	0.04978068917989731
18	-413.8619689941406	-1	4	4	0	3	7	4	0.3232323229312897	0.037383176386356354	0.1041666641831398	0.30612245202064514	0.05607476457953453	0.03703703731298447	0.040816325694322586	0.29113924503326416	0.18496978282928467	0.019808679819107056	0.25455915927886963	9.999999974752427e-07	0.01075268816202879	0.04978068917989731
19	-413.8619689941406	-1	4	4	0	4	1	4	0.3232323229312897	0.037383176386356354	0.1041666641831398	0.30612245202064514	0.05607476457953453	0.03703703731298447	0.040816325694322586	0.29113924503326416	0.18496978282928467	0.019808683544397354	0.25455912947654724	1.622538547962904e-09	0.01075268816202879	0.04978068545460701
20	-413.8619689941406	-1	4	4	0	4	3	4	0.3232323229312897	0.037383176386356354	0.1041666641831398	0.30612245202064514	0.05607476457953453	0.03703703731298447	0.040816325694322586	0.29113924503326416	0.18496978282928467	0.019808683544397354	0.25455912947654724	1.622538547962904e-09	0.01075268816202879	0.04978068545460701
21	-413.8619689941406	-1	4	4	0	4	7	4	0.3232323229312897	0.037383176386356354	0.1041666641831398	0.30612245202064514	0.05607476457953453	0.03703703731298447	0.040816325694322586	0.29113924503326416	0.18496978282928467	0.019808683544397354	0.25455912947654724	1.622538547962904e-09	0.01075268816202879	0.04978068545460701
