tree	llh	pi_0	pi_1	pi_2	pi_3	pi_6	f_0_0	f_0_1	f_0_2	f_0_3	f_0_6	f_1_0	f_1_1	f_1_2	f_1_3	f_1_6
0	-372.8576965332031	-1	2	0	0	0	0.42056071758270264	0.16500402987003326	0.16500402987003326	0.1666666716337204	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.020202020183205605
1	-372.8576965332031	-1	2	0	0	1	0.42056071758270264	0.16500402987003326	0.16500402987003326	0.1666666716337204	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.020202020183205605
2	-372.8576965332031	-1	2	0	0	3	0.42056071758270264	0.16500402987003326	0.16500402987003326	0.1666666716337204	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.020202020183205605
3	-372.8136901855469	-1	3	0	0	0	0.420560747385025	0.16987302899360657	0.15625	0.16987302899360657	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.020202020183205605
4	-372.8136901855469	-1	3	0	0	1	0.420560747385025	0.16987302899360657	0.15625	0.16987302899360657	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.020202020183205605
5	-372.8136901855469	-1	3	0	0	2	0.420560747385025	0.16987302899360657	0.15625	0.16987302899360657	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.020202020183205605
6	-372.8077392578125	-1	0	3	0	0	0.420560747385025	0.17241379618644714	0.15625	0.1666666716337204	0.05999999865889549	0.2929293215274811	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.020202020183205605
7	-372.8077392578125	-1	0	3	0	1	0.42056071758270264	0.17241379618644714	0.15625	0.1666666716337204	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.020202020183205605
8	-372.8077392578125	-1	0	3	0	2	0.42056071758270264	0.17241379618644714	0.15625	0.1666666716337204	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.020202020183205605
9	-372.8576965332031	-1	2	3	0	0	0.42056071758270264	0.16500402987003326	0.16500402987003326	0.1666666716337204	0.05999999865889549	0.2929293215274811	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.020202020183205605
10	-372.8576965332031	-1	2	3	0	1	0.42056071758270264	0.16500402987003326	0.16500402987003326	0.1666666716337204	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.020202020183205605
