tree	llh	pi_0	pi_1	f_0_0	f_0_1	f_1_0	f_1_1
0	-256.3102722167969	-1	0	0.29807692766189575	0.27586206793785095	0.3776593804359436	0.3776593804359436
1	-256.37579345703125	1	-1	0.28637582063674927	0.28637582063674927	0.37634408473968506	0.378947377204895
