tree	llh	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	f_0_0	f_0_1	f_0_2	f_0_3	f_0_4	f_0_5	f_1_0	f_1_1	f_1_2	f_1_3	f_1_4	f_1_5
0	-562.7274780273438	-1	3	0	2	2	1	0.4022449851036072	0.10199813544750214	0.4022449851036072	0.11711711436510086	0.18390804529190063	0.10199813544750214	0.5	0.09166666865348816	0.40740740299224854	0.1764705926179886	0.22499999403953552	0.07000000029802322
1	-562.6986694335938	-1	3	0	2	2	4	0.4022449851036072	0.09734513610601425	0.4022449851036072	0.11711711436510086	0.18390804529190063	0.10752688348293304	0.5	0.09166666865348816	0.40740740299224854	0.1764705926179886	0.22499999403953552	0.07000000029802322
2	-562.7274780273438	-1	4	0	2	2	1	0.4022449851036072	0.10199813544750214	0.4022449851036072	0.11711711436510086	0.18390804529190063	0.10199813544750214	0.5	0.09166666865348816	0.40740740299224854	0.1764705926179886	0.22499999403953552	0.07000000029802322
3	-562.6986694335938	-1	4	0	2	2	3	0.4022449851036072	0.09734513610601425	0.4022449851036072	0.11711711436510086	0.18390804529190063	0.10752688348293304	0.5	0.09166666865348816	0.40740740299224854	0.1764705926179886	0.22499999403953552	0.07000000029802322
4	-562.7610473632812	-1	4	0	2	2	4	0.4022449254989624	0.09261751174926758	0.4022449254989624	0.11711711436510086	0.19415511190891266	0.10153761506080627	0.5	0.09166666865348816	0.40740740299224854	0.1764705926179886	0.22499999403953552	0.07000000029802322
5	-562.7274780273438	-1	2	0	4	2	1	0.4022449851036072	0.10199813544750214	0.4022449851036072	0.11711711436510086	0.18390804529190063	0.10199813544750214	0.5	0.09166666865348816	0.40740740299224854	0.1764705926179886	0.22499999403953552	0.07000000029802322
6	-562.6986694335938	-1	2	0	4	2	2	0.4022449254989624	0.09734513610601425	0.4022449254989624	0.11711711436510086	0.18390804529190063	0.10752688348293304	0.5	0.09166666865348816	0.40740740299224854	0.1764705926179886	0.22499999403953552	0.07000000029802322
7	-562.6986694335938	-1	2	0	4	2	3	0.4022449851036072	0.09734513610601425	0.4022449851036072	0.11711711436510086	0.18390804529190063	0.10752688348293304	0.5	0.09166666865348816	0.40740740299224854	0.1764705926179886	0.22499999403953552	0.07000000029802322
8	-562.7274780273438	-1	3	0	4	2	1	0.4022449851036072	0.10199813544750214	0.4022449851036072	0.11711711436510086	0.18390804529190063	0.10199813544750214	0.5	0.09166666865348816	0.40740740299224854	0.1764705926179886	0.22499999403953552	0.07000000029802322
9	-562.6986694335938	-1	3	0	4	2	2	0.4022449851036072	0.09734513610601425	0.4022449851036072	0.11711711436510086	0.18390804529190063	0.10752688348293304	0.5	0.09166666865348816	0.40740740299224854	0.1764705926179886	0.22499999403953552	0.07000000029802322
