tree	llh	pi_0	pi_1	pi_3	pi_4	pi_5	pi_6	pi_7	f_0_0	f_0_1	f_0_3	f_0_4	f_0_5	f_0_6	f_0_7	f_1_0	f_1_1	f_1_3	f_1_4	f_1_5	f_1_6	f_1_7
0	-447.04608154296875	-1	0	0	3	4	1	1	0.3368421196937561	0.19148936867713928	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.30476194620132446	0.11538461595773697	0.14152728021144867	0.14152728021144867	0.11764705926179886	0.03030303120613098	0.022727273404598236
1	-447.0564880371094	-1	0	0	3	4	4	1	0.3368421196937561	0.19148936867713928	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.3047619163990021	0.11538461595773697	0.14324462413787842	0.14324462413787842	0.11421283334493637	0.02903178706765175	0.022727273404598236
2	-447.09814453125	-1	0	0	3	4	7	1	0.3368421196937561	0.19148936867713928	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.3047619163990021	0.11538462340831757	0.14152728021144867	0.14152728021144867	0.11764705926179886	0.026479974389076233	0.02647997811436653
3	-447.1001892089844	-1	0	0	3	4	1	4	0.3368421196937561	0.19148936867713928	0.12345679104328156	0.08870074898004532	1.622538547962904e-09	0.0520833320915699	0.08870075643062592	0.30476194620132446	0.11538461595773697	0.14152728021144867	0.14152728021144867	0.11764705926179886	0.03030303120613098	0.022727273404598236
4	-447.0971984863281	-1	0	1	0	3	4	0	0.35064804553985596	0.1821102797985077	0.12345679104328156	0.07826616615056992	9.999999974752427e-07	0.0520833320915699	0.09027162939310074	0.3047619163990021	0.12479468435049057	0.12479468435049057	0.1538461595773697	0.11764705926179886	0.03030303120613098	0.022727273404598236
5	-447.0971984863281	-1	0	1	0	4	3	0	0.35064804553985596	0.1821102797985077	0.12345679104328156	0.07826616615056992	9.999999974752427e-07	0.0520833320915699	0.09027162939310074	0.3047619163990021	0.12479468435049057	0.12479468435049057	0.1538461595773697	0.11764705926179886	0.03030303120613098	0.022727273404598236
6	-447.0971984863281	-1	0	1	0	4	4	0	0.35064804553985596	0.1821102797985077	0.12345679104328156	0.07826616615056992	9.999999974752427e-07	0.0520833320915699	0.09027162939310074	0.3047619163990021	0.12479468435049057	0.12479468435049057	0.1538461595773697	0.11764705926179886	0.03030303120613098	0.022727273404598236
7	-447.07147216796875	-1	0	1	0	3	0	3	0.3368420898914337	0.19148936867713928	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.3086773753166199	0.12824538350105286	0.12824541330337524	0.15100893378257751	0.10851434618234634	0.029423028230667114	0.01973104476928711
8	-447.06097412109375	-1	0	1	0	3	4	3	0.3368421196937561	0.19148936867713928	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.3047619163990021	0.12913671135902405	0.12913672626018524	0.1538461595773697	0.10916149616241455	0.03030303120613098	0.019975226372480392
9	-447.00146484375	-1	0	1	0	4	0	3	0.3368420898914337	0.19148936867713928	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.30660480260849	0.12422874569892883	0.12422874569892883	0.15249642729759216	0.11764705926179886	0.029879644513130188	0.022727273404598236
10	-446.9991760253906	-1	0	1	0	4	4	3	0.3368421196937561	0.19148936867713928	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.3047618865966797	0.12479468435049057	0.12479468435049057	0.1538461595773697	0.11764705926179886	0.03030303120613098	0.022727273404598236
11	-447.0512390136719	-1	0	1	0	4	7	3	0.3368421196937561	0.19148936867713928	0.12345679104328156	0.08256880939006805	9.999999974752427e-07	0.0520833320915699	0.09574468433856964	0.3047618865966797	0.12479467689990997	0.12479467689990997	0.1538461595773697	0.11764705926179886	0.026479974389076233	0.02647997811436653
12	-447.0555419921875	-1	0	1	0	3	0	4	0.3368420898914337	0.19148936867713928	0.12345679104328156	0.08870076388120651	9.999999974752427e-07	0.0520833320915699	0.08870075643062592	0.30660480260849	0.12422875314950943	0.12422875314950943	0.15249642729759216	0.11764705926179886	0.029879659414291382	0.022727273404598236
13	-447.0555419921875	-1	0	1	0	4	0	4	0.3368420898914337	0.19148936867713928	0.12345679104328156	0.08870074898004532	1.622538547962904e-09	0.0520833320915699	0.08870075643062592	0.30660480260849	0.12422875314950943	0.12422875314950943	0.15249642729759216	0.11764705926179886	0.029879659414291382	0.022727273404598236
14	-447.05328369140625	-1	0	1	0	4	3	4	0.3368421196937561	0.19148936867713928	0.12345679104328156	0.08870074898004532	1.622538547962904e-09	0.0520833320915699	0.08870075643062592	0.3047618865966797	0.12479468435049057	0.12479468435049057	0.1538461446762085	0.11764705926179886	0.03030303120613098	0.022727273404598236
