tree	llh	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	f_0_0	f_0_1	f_0_2	f_0_3	f_0_4	f_0_5	f_0_6	f_1_0	f_1_1	f_1_2	f_1_3	f_1_4	f_1_5	f_1_6
0	-534.2532348632812	-1	4	0	0	0	1	1	0.4433962106704712	0.24008877575397491	0.010309278033673763	0.1595744639635086	0.24008876085281372	0.1254030019044876	0.11468575894832611	0.31757253408432007	0.1683168262243271	0.04652470722794533	0.0345878005027771	0.23646001517772675	0.029999999329447746	0.01075268816202879
1	-534.2855834960938	-1	4	4	0	0	1	1	0.4433962106704712	0.2370377480983734	0.009080171585083008	0.1595744639635086	0.24611793458461761	0.12391149997711182	0.1131262481212616	0.3146067261695862	0.1683168262243271	0.04716981202363968	0.035087719559669495	0.23853212594985962	0.029999999329447746	0.01075268816202879
2	-534.2142333984375	-1	4	0	0	0	1	3	0.4433962106704712	0.23423422873020172	0.010309278033673763	0.1595744639635086	0.23762376606464386	0.1304347813129425	0.11999999731779099	0.31757253408432007	0.1683168262243271	0.04652470722794533	0.0345878005027771	0.23646001517772675	0.029999999329447746	0.01075268816202879
3	-534.210205078125	-1	4	1	0	0	1	3	0.4433962106704712	0.23423422873020172	0.010309278033673763	0.1595744639635086	0.23762376606464386	0.1304347813129425	0.11999999731779099	0.3146067261695862	0.1683168262243271	0.04716981202363968	0.035087719559669495	0.23853211104869843	0.029999999329447746	0.01075268816202879
4	-534.21728515625	-1	4	4	0	0	1	3	0.4433962106704712	0.2311723530292511	0.009876379743218422	0.1595744639635086	0.24104873836040497	0.1304347813129425	0.11999999731779099	0.3146067261695862	0.1683168262243271	0.04716981202363968	0.035087719559669495	0.23853212594985962	0.029999999329447746	0.01075268816202879
5	-534.2142333984375	-1	4	0	0	0	1	5	0.4433962106704712	0.23423422873020172	0.010309278033673763	0.1595744639635086	0.23762376606464386	0.1304347813129425	0.11999999731779099	0.31757253408432007	0.1683168262243271	0.04652470722794533	0.0345878005027771	0.23646001517772675	0.029999997466802597	0.01075268816202879
6	-534.210205078125	-1	4	1	0	0	1	5	0.4433962106704712	0.23423422873020172	0.010309278033673763	0.1595744639635086	0.23762376606464386	0.1304347813129425	0.11999999731779099	0.31460675597190857	0.16831684112548828	0.04716981202363968	0.035087719559669495	0.23853212594985962	0.029999997466802597	0.01075268816202879
7	-534.3124389648438	-1	4	3	0	0	1	5	0.4433962106704712	0.23423422873020172	0.010309278033673763	0.1595744639635086	0.23762376606464386	0.1304347813129425	0.11999999731779099	0.3146067261695862	0.1683168262243271	0.0408049076795578	0.0408049002289772	0.23853211104869843	0.029999997466802597	0.01075268816202879
8	-534.21728515625	-1	4	4	0	0	1	5	0.4433962106704712	0.2311723530292511	0.009876379743218422	0.1595744639635086	0.24104873836040497	0.1304347813129425	0.11999999731779099	0.3146067261695862	0.1683168262243271	0.04716981202363968	0.035087719559669495	0.23853212594985962	0.029999997466802597	0.01075268816202879
9	-534.2142333984375	-1	4	0	0	0	3	1	0.4433962106704712	0.23423422873020172	0.010309278033673763	0.1595744639635086	0.23762376606464386	0.1304347813129425	0.11999999731779099	0.31757253408432007	0.1683168262243271	0.04652470722794533	0.0345878005027771	0.23646001517772675	0.029999999329447746	0.01075268816202879
10	-534.210205078125	-1	4	1	0	0	3	1	0.4433962106704712	0.23423422873020172	0.010309278033673763	0.1595744639635086	0.23762376606464386	0.1304347813129425	0.11999999731779099	0.3146067261695862	0.1683168262243271	0.04716981202363968	0.035087719559669495	0.23853211104869843	0.029999999329447746	0.01075268816202879
11	-534.21728515625	-1	4	4	0	0	3	1	0.4433962106704712	0.2311723530292511	0.009876379743218422	0.1595744639635086	0.24104873836040497	0.1304347813129425	0.11999999731779099	0.3146067261695862	0.1683168262243271	0.04716981202363968	0.035087719559669495	0.23853212594985962	0.029999999329447746	0.01075268816202879
12	-534.2142333984375	-1	4	0	0	0	3	5	0.4433962106704712	0.23423422873020172	0.010309278033673763	0.1595744639635086	0.23762376606464386	0.1304347813129425	0.11999999731779099	0.31757253408432007	0.1683168262243271	0.04652470722794533	0.0345878005027771	0.23646003007888794	0.029999997466802597	0.01075268816202879
13	-534.210205078125	-1	4	1	0	0	3	5	0.4433962106704712	0.23423422873020172	0.010309278033673763	0.1595744639635086	0.23762376606464386	0.1304347813129425	0.11999999731779099	0.3146067261695862	0.1683168262243271	0.04716981202363968	0.035087719559669495	0.23853211104869843	0.029999997466802597	0.01075268816202879
14	-534.21728515625	-1	4	4	0	0	3	5	0.4433962106704712	0.2311723530292511	0.009876379743218422	0.1595744639635086	0.24104873836040497	0.1304347813129425	0.11999999731779099	0.3146067261695862	0.1683168262243271	0.04716981202363968	0.035087719559669495	0.23853212594985962	0.029999997466802597	0.01075268816202879
