tree	llh	pi_0	pi_2	pi_3	pi_5	pi_6	pi_7	f_0_0	f_0_2	f_0_3	f_0_5	f_0_6	f_0_7	f_1_0	f_1_2	f_1_3	f_1_5	f_1_6	f_1_7
0	-429.2816467285156	-1	0	0	2	2	0	0.3703047037124634	0.15604954957962036	0.16239631175994873	0.06593406945466995	0.04545454680919647	0.05185883119702339	0.32072722911834717	0.13256439566612244	0.16728448867797852	9.999999974752427e-07	0.11881188303232193	0.02087833732366562
1	-429.2816467285156	-1	0	0	3	2	0	0.3703047037124634	0.15604954957962036	0.16239631175994873	0.06593406945466995	0.04545454680919647	0.05185883119702339	0.32072722911834717	0.13256439566612244	0.16728448867797852	9.999999974752427e-07	0.11881188303232193	0.02087833732366562
2	-429.37628173828125	-1	0	0	7	2	0	0.3730315566062927	0.1544836461544037	0.16071927547454834	0.05782864987850189	0.04545454680919647	0.05782864987850189	0.32072722911834717	0.13256439566612244	0.16728448867797852	9.999999974752427e-07	0.11881188303232193	0.02087833732366562
3	-429.3063659667969	-1	0	0	0	2	2	0.37572139501571655	0.1529242992401123	0.15905702114105225	0.06374005228281021	0.04545454680919647	0.052173912525177	0.31683164834976196	0.1368994563817978	0.1696428507566452	9.999999974752427e-07	0.11630411446094513	0.02059534192085266
4	-429.28826904296875	-1	0	0	2	2	2	0.3689320385456085	0.15962716937065125	0.16326530277729034	0.064315564930439	0.04432757943868637	0.05098401755094528	0.31683167815208435	0.1368994563817978	0.1696428507566452	-2.4010660126805305e-10	0.11630411446094513	0.02059534378349781
5	-429.28009033203125	-1	0	0	3	2	2	0.3689320385456085	0.1568627506494522	0.16326530277729034	0.06593406945466995	0.04545454680919647	0.052173912525177	0.31683167815208435	0.1368994563817978	0.1696428507566452	9.999999974752427e-07	0.11630411446094513	0.02059534192085266
6	-429.3672180175781	-1	0	0	7	2	2	0.3689320385456085	0.1568627506494522	0.16326530277729034	0.058362506330013275	0.04545454680919647	0.058362506330013275	0.31683167815208435	0.1368994563817978	0.1696428507566452	9.999999974752427e-07	0.11630411446094513	0.02059534192085266
7	-429.29840087890625	-1	0	0	0	2	3	0.37572139501571655	0.1529242992401123	0.15905702114105225	0.06374005228281021	0.04545454680919647	0.052173912525177	0.31683164834976196	0.13445378839969635	0.1696428507566452	9.999999974752427e-07	0.11881188303232193	0.02150537632405758
8	-429.2721252441406	-1	0	0	2	2	3	0.3689320385456085	0.1568627506494522	0.16326530277729034	0.06593406945466995	0.04545454680919647	0.052173912525177	0.31683167815208435	0.13445378839969635	0.1696428507566452	9.999999974752427e-07	0.11881188303232193	0.02150537632405758
9	-429.2721252441406	-1	0	0	3	2	3	0.3689320385456085	0.1568627506494522	0.16326530277729034	0.06593406945466995	0.04545454680919647	0.052173912525177	0.31683167815208435	0.13445378839969635	0.1696428507566452	9.999999974752427e-07	0.11881188303232193	0.02150537632405758
10	-429.3592529296875	-1	0	0	7	2	3	0.3689320385456085	0.1568627506494522	0.16326530277729034	0.058362506330013275	0.04545454680919647	0.058362506330013275	0.31683167815208435	0.13445378839969635	0.1696428507566452	9.999999974752427e-07	0.11881188303232193	0.02150537632405758
11	-429.32574462890625	-1	0	0	0	2	6	0.37572139501571655	0.1529242992401123	0.15905702114105225	0.06374005228281021	0.04880134388804436	0.048801347613334656	0.31683164834976196	0.13445378839969635	0.1696428507566452	9.999999974752427e-07	0.11881188303232193	0.02150537632405758
12	-429.2994689941406	-1	0	0	2	2	6	0.3689320385456085	0.1568627506494522	0.16326530277729034	0.06593406945466995	0.04880134388804436	0.048801347613334656	0.31683167815208435	0.13445378839969635	0.1696428507566452	9.999999974752427e-07	0.11881188303232193	0.02150537632405758
13	-429.2994689941406	-1	0	0	3	2	6	0.3689320385456085	0.1568627506494522	0.16326530277729034	0.06593406945466995	0.04880134388804436	0.048801347613334656	0.31683167815208435	0.13445378839969635	0.1696428507566452	9.999999974752427e-07	0.11881188303232193	0.02150537632405758
14	-429.2816467285156	-1	0	0	2	3	0	0.3703047037124634	0.15604954957962036	0.16239631175994873	0.06593406945466995	0.04545454680919647	0.05185883119702339	0.32072722911834717	0.13256439566612244	0.16728448867797852	9.999999974752427e-07	0.11881188303232193	0.02087833732366562
15	-429.2816467285156	-1	0	0	3	3	0	0.3703047037124634	0.15604954957962036	0.16239631175994873	0.06593406945466995	0.04545454680919647	0.05185883119702339	0.32072722911834717	0.13256439566612244	0.16728448867797852	9.999999974752427e-07	0.11881188303232193	0.02087833732366562
16	-429.37628173828125	-1	0	0	7	3	0	0.3730315566062927	0.1544836461544037	0.16071927547454834	0.05782864987850189	0.04545454680919647	0.05782864987850189	0.32072722911834717	0.13256439566612244	0.16728448867797852	9.999999974752427e-07	0.11881188303232193	0.02087833732366562
17	-429.29840087890625	-1	0	0	0	3	2	0.37572139501571655	0.1529242992401123	0.15905702114105225	0.06374005228281021	0.04545454680919647	0.052173912525177	0.31683164834976196	0.13445378839969635	0.1696428507566452	9.999999974752427e-07	0.11881188303232193	0.02150537632405758
18	-429.2721252441406	-1	0	0	2	3	2	0.3689320385456085	0.1568627506494522	0.16326530277729034	0.06593406945466995	0.04545454680919647	0.052173912525177	0.31683167815208435	0.13445378839969635	0.1696428507566452	9.999999974752427e-07	0.11881188303232193	0.02150537632405758
19	-429.2721252441406	-1	0	0	3	3	2	0.3689320385456085	0.1568627506494522	0.16326530277729034	0.06593406945466995	0.04545454680919647	0.052173912525177	0.31683167815208435	0.13445378839969635	0.1696428507566452	9.999999974752427e-07	0.11881188303232193	0.02150537632405758
20	-429.3592529296875	-1	0	0	7	3	2	0.3689320385456085	0.1568627506494522	0.16326530277729034	0.058362506330013275	0.04545454680919647	0.058362506330013275	0.31683167815208435	0.13445378839969635	0.1696428507566452	9.999999974752427e-07	0.11881188303232193	0.02150537632405758
21	-429.29840087890625	-1	0	0	0	3	3	0.37572139501571655	0.1529242992401123	0.15905702114105225	0.06374005228281021	0.04545454680919647	0.052173912525177	0.31683164834976196	0.13445378839969635	0.1696428507566452	9.999999974752427e-07	0.11881188303232193	0.02150537632405758
22	-429.2721252441406	-1	0	0	2	3	3	0.3689320385456085	0.1568627506494522	0.16326530277729034	0.06593406945466995	0.04545454680919647	0.052173912525177	0.31683167815208435	0.13445378839969635	0.1696428507566452	9.999999974752427e-07	0.11881188303232193	0.02150537632405758
