tree	llh	pi_0	pi_1	pi_3	pi_4	pi_5	pi_6	f_0_0	f_0_1	f_0_3	f_0_4	f_0_5	f_0_6	f_1_0	f_1_1	f_1_3	f_1_4	f_1_5	f_1_6
0	-508.52947998046875	-1	4	0	0	1	1	0.4433962106704712	0.24008877575397491	0.1595744639635086	0.24008876085281372	0.1254030019044876	0.11468575894832611	0.3146067261695862	0.1683168262243271	0.035087719559669495	0.23853211104869843	0.029999999329447746	0.01075268816202879
1	-508.4904479980469	-1	4	0	0	1	3	0.4433962106704712	0.23423422873020172	0.1595744639635086	0.23762376606464386	0.1304347813129425	0.11999999731779099	0.3146067261695862	0.1683168262243271	0.035087719559669495	0.23853211104869843	0.029999999329447746	0.01075268816202879
2	-508.4904479980469	-1	4	0	0	1	5	0.4433962106704712	0.23423422873020172	0.1595744639635086	0.23762376606464386	0.1304347813129425	0.11999999731779099	0.3146067261695862	0.1683168262243271	0.035087719559669495	0.23853211104869843	0.029999997466802597	0.01075268816202879
3	-508.4904479980469	-1	4	0	0	3	1	0.4433962106704712	0.23423422873020172	0.1595744639635086	0.23762376606464386	0.1304347813129425	0.11999999731779099	0.3146067261695862	0.1683168262243271	0.035087719559669495	0.23853211104869843	0.029999999329447746	0.01075268816202879
4	-508.4904479980469	-1	4	0	0	3	5	0.4433962106704712	0.23423422873020172	0.1595744639635086	0.23762376606464386	0.1304347813129425	0.11999999731779099	0.3146067261695862	0.1683168262243271	0.035087719559669495	0.23853211104869843	0.029999997466802597	0.01075268816202879
5	-508.4904479980469	-1	4	1	0	0	3	0.4433962404727936	0.23423422873020172	0.1595744639635086	0.23762376606464386	0.1304347813129425	0.11999999731779099	0.31460675597190857	0.1683168262243271	0.035087719559669495	0.23853211104869843	0.029999999329447746	0.01075268816202879
6	-508.4904479980469	-1	4	1	0	0	5	0.4433962404727936	0.23423422873020172	0.1595744639635086	0.23762376606464386	0.1304347813129425	0.11999999731779099	0.31460675597190857	0.1683168262243271	0.035087719559669495	0.23853211104869843	0.029999997466802597	0.01075268816202879
7	-508.4904479980469	-1	4	1	0	3	0	0.4433962404727936	0.23423422873020172	0.1595744639635086	0.23762376606464386	0.1304347813129425	0.11999999731779099	0.31460675597190857	0.1683168262243271	0.035087719559669495	0.23853211104869843	0.029999999329447746	0.01075268816202879
8	-508.4904479980469	-1	4	1	0	3	5	0.4433962404727936	0.23423422873020172	0.1595744639635086	0.23762376606464386	0.1304347813129425	0.11999999731779099	0.31460675597190857	0.1683168262243271	0.035087719559669495	0.23853211104869843	0.029999997466802597	0.01075268816202879
