tree	llh	pi_0	pi_2	pi_3	pi_4	pi_5	pi_7	f_0_0	f_0_2	f_0_3	f_0_4	f_0_5	f_0_7	f_1_0	f_1_2	f_1_3	f_1_4	f_1_5	f_1_7
0	-468.30279541015625	-1	0	2	2	0	0	0.5288461446762085	0.34951454401016235	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.09401709586381912	0.4283832311630249	0.22675096988677979	0.037974681705236435	0.033707864582538605	0.20163224637508392	1.622538547962904e-09
1	-468.30279541015625	-1	0	2	2	0	2	0.5288461446762085	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.09401709586381912	0.4283832609653473	0.22675098478794098	0.037974681705236435	0.033707864582538605	0.20163224637508392	9.999999974752427e-07
2	-468.30279541015625	-1	0	2	2	0	4	0.5288461446762085	0.34951454401016235	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.09401709586381912	0.4283832311630249	0.22675096988677979	0.037974681705236435	0.033707864582538605	0.20163224637508392	9.999999974752427e-07
3	-468.3138122558594	-1	0	4	2	0	0	0.5288461446762085	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.09401709586381912	0.4283832311630249	0.22675098478794098	0.03574084863066673	0.03574084863066673	0.20163224637508392	1.622538547962904e-09
4	-468.3138122558594	-1	0	4	2	0	2	0.5288461446762085	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.09401709586381912	0.4283832609653473	0.22675098478794098	0.03574084863066673	0.03574084863066673	0.20163224637508392	9.999999974752427e-07
5	-468.300048828125	-1	0	0	0	2	2	0.5405206680297852	0.33883440494537354	0.06888830661773682	0.1327980011701584	0.04123711213469505	0.09401709586381912	0.41489362716674805	0.2347826063632965	0.037974681705236435	0.033707864582538605	0.21052631735801697	9.999999974752427e-07
6	-468.300048828125	-1	0	0	0	2	4	0.5405206680297852	0.33883440494537354	0.06888830661773682	0.1327980011701584	0.04123711213469505	0.09401709586381912	0.41489362716674805	0.2347826063632965	0.037974681705236435	0.033707864582538605	0.21052631735801697	9.999999974752427e-07
7	-468.2488708496094	-1	0	2	0	2	2	0.5288461446762085	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.09401709586381912	0.41489362716674805	0.24047283828258514	0.036061253398656845	0.033707864582538605	0.2044116109609604	1.622538547962904e-09
8	-468.2488708496094	-1	0	2	0	2	4	0.5288461446762085	0.34951454401016235	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.09401709586381912	0.41489362716674805	0.24047285318374634	0.03606124222278595	0.033707864582538605	0.2044115960597992	9.999999974752427e-07
9	-468.2347106933594	-1	0	4	0	2	2	0.5288461446762085	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.09401709586381912	0.41489362716674805	0.2347826063632965	0.03574084863066673	0.03574084863066673	0.21052631735801697	9.999999974752427e-07
10	-468.2359313964844	-1	0	0	2	2	0	0.5288461446762085	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.09401709586381912	0.41489365696907043	0.23876580595970154	0.037974681705236435	0.03256092593073845	0.2062048763036728	9.999999974752427e-07
11	-468.2359313964844	-1	0	0	2	2	2	0.5288461446762085	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.09401709586381912	0.41489362716674805	0.23876579105854034	0.037974681705236435	0.03256092965602875	0.20620489120483398	-2.4010660126805305e-10
12	-468.2359313964844	-1	0	0	2	2	4	0.5288461446762085	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.09401709586381912	0.41489362716674805	0.23876580595970154	0.037974681705236435	0.03256092593073845	0.2062048763036728	9.999999974752427e-07
13	-468.2535095214844	-1	0	4	2	2	0	0.5288461446762085	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.09401709586381912	0.41489362716674805	0.23993319272994995	0.03496205806732178	0.03496205806732178	0.2049710750579834	9.999999974752427e-07
14	-468.2535095214844	-1	0	4	2	2	2	0.5288461446762085	0.34951457381248474	0.07207207381725311	0.13793103396892548	0.04123711213469505	0.09401709586381912	0.41489362716674805	0.23993316292762756	0.03496206924319267	0.03496207296848297	0.20497111976146698	-2.4010660126805305e-10
