tree	llh	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7	f_0_0	f_0_1	f_0_2	f_0_3	f_0_4	f_0_5	f_0_6	f_0_7	f_1_0	f_1_1	f_1_2	f_1_3	f_1_4	f_1_5	f_1_6	f_1_7
0	-477.1812438964844	-1	3	0	0	3	2	2	0	0.3703047037124634	0.009900989942252636	0.15604954957962036	0.16239631175994873	0.0235294122248888	0.06593406945466995	0.04545454680919647	0.05185883119702339	0.32072725892066956	0.05154639109969139	0.13256441056728363	0.16728448867797852	0.033707864582538605	9.999999974752427e-07	0.11881188303232193	0.020878344774246216
1	-477.1812438964844	-1	3	0	0	6	2	2	0	0.3703047037124634	0.009900989942252636	0.15604954957962036	0.16239631175994873	0.0235294122248888	0.06593406945466995	0.04545454680919647	0.05185883119702339	0.32072722911834717	0.05154639109969139	0.13256439566612244	0.16728448867797852	0.033707864582538605	9.999999974752427e-07	0.11881188303232193	0.02087833732366562
2	-477.1812438964844	-1	6	0	0	3	2	2	0	0.3703047037124634	0.009900989942252636	0.15604954957962036	0.16239631175994873	0.0235294122248888	0.06593406945466995	0.04545454680919647	0.05185883119702339	0.32072722911834717	0.05154639109969139	0.13256439566612244	0.16728448867797852	0.033707864582538605	9.999999974752427e-07	0.11881187558174133	0.02087833732366562
3	-477.1812438964844	-1	6	0	0	6	2	2	0	0.3703047037124634	0.009900989942252636	0.15604954957962036	0.16239631175994873	0.0235294122248888	0.06593406945466995	0.04545454680919647	0.05185883119702339	0.32072722911834717	0.05154639109969139	0.13256439566612244	0.16728448867797852	0.033707864582538605	9.999999974752427e-07	0.11881188303232193	0.02087833732366562
4	-477.1812438964844	-1	3	0	0	3	3	2	0	0.3703047037124634	0.009900989942252636	0.15604954957962036	0.16239631175994873	0.0235294122248888	0.06593406945466995	0.04545454680919647	0.05185883119702339	0.32072725892066956	0.05154639109969139	0.13256439566612244	0.16728447377681732	0.033707864582538605	9.999999974752427e-07	0.11881188303232193	0.02087833732366562
5	-477.1812438964844	-1	3	0	0	6	3	2	0	0.3703047037124634	0.009900989942252636	0.15604954957962036	0.16239631175994873	0.0235294122248888	0.06593406945466995	0.04545454680919647	0.05185883119702339	0.32072722911834717	0.05154639109969139	0.13256439566612244	0.16728448867797852	0.033707864582538605	9.999999974752427e-07	0.11881188303232193	0.02087833732366562
6	-477.1812438964844	-1	6	0	0	3	3	2	0	0.3703047037124634	0.009900989942252636	0.15604954957962036	0.16239631175994873	0.0235294122248888	0.06593406945466995	0.04545454680919647	0.05185883119702339	0.32072725892066956	0.05154639109969139	0.13256441056728363	0.16728447377681732	0.033707864582538605	9.999999974752427e-07	0.11881187558174133	0.02087833732366562
7	-477.1812438964844	-1	6	0	0	6	3	2	0	0.3703047037124634	0.009900989942252636	0.15604954957962036	0.16239631175994873	0.0235294122248888	0.06593406945466995	0.04545454680919647	0.05185883119702339	0.32072722911834717	0.05154639109969139	0.13256439566612244	0.16728448867797852	0.033707864582538605	9.999999974752427e-07	0.11881188303232193	0.02087833732366562
8	-477.27587890625	-1	3	0	0	3	7	2	0	0.3730315566062927	0.009900989942252636	0.1544836461544037	0.16071927547454834	0.0235294122248888	0.05782864987850189	0.04545454680919647	0.05782864987850189	0.32072725892066956	0.05154639109969139	0.13256441056728363	0.16728448867797852	0.033707864582538605	9.999999974752427e-07	0.11881188303232193	0.020878344774246216
9	-477.27587890625	-1	3	0	0	6	7	2	0	0.3730315566062927	0.009900989942252636	0.1544836461544037	0.16071927547454834	0.0235294122248888	0.05782864987850189	0.04545454680919647	0.05782864987850189	0.32072722911834717	0.05154639109969139	0.13256439566612244	0.16728448867797852	0.033707864582538605	9.999999974752427e-07	0.11881188303232193	0.02087833732366562
10	-477.27587890625	-1	6	0	0	3	7	2	0	0.3730315566062927	0.009900989942252636	0.1544836461544037	0.16071927547454834	0.0235294122248888	0.05782864987850189	0.04545454680919647	0.05782864987850189	0.32072725892066956	0.05154639109969139	0.13256441056728363	0.16728448867797852	0.033707864582538605	9.999999974752427e-07	0.11881187558174133	0.020878344774246216
11	-477.27587890625	-1	6	0	0	6	7	2	0	0.3730315566062927	0.009900989942252636	0.1544836461544037	0.16071927547454834	0.0235294122248888	0.05782864987850189	0.04545454680919647	0.05782864987850189	0.32072722911834717	0.05154639109969139	0.13256439566612244	0.16728448867797852	0.033707864582538605	9.999999974752427e-07	0.11881188303232193	0.02087833732366562
