tree	llh	pi_0	pi_2	pi_3	pi_6	pi_7	f_0_0	f_0_2	f_0_3	f_0_6	f_0_7	f_1_0	f_1_2	f_1_3	f_1_6	f_1_7
0	-407.1692199707031	-1	0	0	2	0	0.3703047037124634	0.15604954957962036	0.16239631175994873	0.04545454680919647	0.05185883119702339	0.32072722911834717	0.13256439566612244	0.16728448867797852	0.11881188303232193	0.02087833732366562
1	-407.16766357421875	-1	0	0	2	2	0.3689320385456085	0.1568627506494522	0.16326530277729034	0.04545454680919647	0.052173912525177	0.31683167815208435	0.1368994563817978	0.1696428507566452	0.11630411446094513	0.02059534192085266
2	-407.1596984863281	-1	0	0	2	3	0.3689320385456085	0.1568627506494522	0.16326530277729034	0.04545454680919647	0.052173912525177	0.31683167815208435	0.13445378839969635	0.1696428507566452	0.11881188303232193	0.02150537632405758
3	-407.1870422363281	-1	0	0	2	6	0.3689320385456085	0.1568627506494522	0.16326530277729034	0.04880134388804436	0.048801347613334656	0.31683167815208435	0.13445378839969635	0.1696428507566452	0.11881188303232193	0.02150537632405758
4	-407.1692199707031	-1	0	0	3	0	0.3703047037124634	0.15604954957962036	0.16239631175994873	0.04545454680919647	0.05185883119702339	0.32072722911834717	0.13256439566612244	0.16728448867797852	0.11881188303232193	0.02087833732366562
5	-407.1596984863281	-1	0	0	3	2	0.3689320385456085	0.1568627506494522	0.16326530277729034	0.04545454680919647	0.052173912525177	0.31683167815208435	0.13445378839969635	0.1696428507566452	0.11881188303232193	0.02150537632405758
6	-407.1596984863281	-1	0	0	3	3	0.3689320385456085	0.1568627506494522	0.16326530277729034	0.04545454680919647	0.052173912525177	0.31683167815208435	0.13445378839969635	0.1696428507566452	0.11881188303232193	0.02150537632405758
7	-407.1870422363281	-1	0	0	3	6	0.3689320385456085	0.1568627506494522	0.16326530277729034	0.04880134388804436	0.048801347613334656	0.31683167815208435	0.13445378839969635	0.1696428507566452	0.11881188303232193	0.02150537632405758
8	-407.1596984863281	-1	3	0	0	0	0.36893200874328613	0.1568627506494522	0.16326530277729034	0.04545454680919647	0.052173912525177	0.31683167815208435	0.13445378839969635	0.1696428507566452	0.11881188303232193	0.02150537632405758
9	-407.1596984863281	-1	3	0	0	2	0.36893200874328613	0.1568627506494522	0.16326530277729034	0.04545454680919647	0.052173912525177	0.31683167815208435	0.13445378839969635	0.1696428507566452	0.11881188303232193	0.02150537632405758
10	-407.1870422363281	-1	3	0	0	6	0.3689320385456085	0.1568627506494522	0.16326530277729034	0.04880134388804436	0.048801347613334656	0.31683167815208435	0.13445378839969635	0.1696428507566452	0.11881188303232193	0.02150537632405758
11	-407.1596984863281	-1	3	0	2	0	0.3689320385456085	0.1568627506494522	0.16326530277729034	0.04545454680919647	0.052173912525177	0.31683167815208435	0.13445378839969635	0.1696428507566452	0.11881188303232193	0.02150537632405758
12	-407.16766357421875	-1	3	0	2	2	0.3689320385456085	0.1568627506494522	0.16326530277729034	0.04545454680919647	0.052173912525177	0.31683167815208435	0.1368994563817978	0.1696428507566452	0.11630411446094513	0.02059534192085266
13	-407.1870422363281	-1	3	0	2	6	0.3689320385456085	0.1568627506494522	0.16326530277729034	0.04880134388804436	0.048801347613334656	0.31683167815208435	0.13445378839969635	0.1696428507566452	0.11881188303232193	0.02150537632405758
